trial_number,gamma,theta,m0,beta_prime,narma10_nrmse,ti46_accuracy,kr_threshold,gr_threshold
35,0.0513904404812956,0.2,0.0037027363557804,50.0,0.6199842483790946,0.8641509433962264,0,0
37,0.0524517838714638,0.2,0.008,50.0,0.8223262832213724,0.9672955974842767,0,0
39,0.0520863839633195,0.2,0.0032574767343508,50.0,0.6032125383622171,0.8452830188679246,0,0
44,0.0522666444909759,0.2,0.0047235295186964,50.0,0.6288079598833322,0.9245283018867925,0,0
48,0.0462128203580615,0.2,0.001,50.0,0.6194865770736765,0.879245283018868,0,0
51,0.0497073499610653,0.2,0.001347718229063,50.0,0.6045700471808746,0.8226415094339623,0,0
55,0.0474287242032226,0.2,0.001,50.0,2.282234577667221,0.8855345911949686,0,0
57,0.0503167819975113,0.2,0.0022549560963651,50.0,0.5832547561470923,0.7974842767295598,0,0
61,0.0497795595833457,0.2,0.0015716361241841,50.0,0.5943080200980365,0.7886792452830189,0,0
81,0.0488826060723346,0.2,0.0010283865590926,50.0,0.6154023993070581,0.8641509433962264,0,0
105,0.0483887686633272,0.2,0.001,50.0,0.6056035490865112,0.8767295597484277,0,0
150,0.0527269505897326,0.2,0.0057948054429297,50.0,0.6523731223577233,0.949685534591195,0,0
158,0.0505364848797875,0.2,0.0042059576248679,50.0,0.5923950639673433,0.8867924528301887,0,0
209,0.0489073002074923,0.2,0.0010185060220095,50.0,0.6301466520637082,0.869182389937107,0,0
212,0.043022552775389,0.2,0.001,50.0,1.00320282045959,0.8679245283018868,0,0
230,0.0491685342846699,0.2,0.0035255439378225,50.0,0.5870748544005245,0.8440251572327044,0,0
232,0.0491945881573598,0.2,0.0034904166685117,50.0,0.5881201235271711,0.8440251572327044,0,0
267,0.0495285406023277,0.2,0.008,50.0,0.644109192874807,0.9672955974842767,0,0
270,0.0493660793511097,0.2,0.008,50.0,0.6401920844976428,0.9660377358490566,0,0
282,0.0453952208289407,0.2,0.0035166332677649,50.0,0.6027139606325281,0.8389937106918239,0,0
283,0.0452379267266154,0.2,0.0035098599845901,50.0,0.6025252450126612,0.8327044025157233,0,0
288,0.048556860490022,0.2,0.004422902273173,50.0,0.5794776521609495,0.8880503144654088,0,0
289,0.0439463306776057,0.2,0.0034640507417252,50.0,0.6082946038814738,0.8226415094339623,0,0
290,0.0446720958633648,0.2,0.0037858939932716,50.0,0.6014818282725644,0.8465408805031447,0,0
303,0.0521320724252287,0.2,0.0052612942759659,50.0,0.648964147876355,0.939622641509434,0,0
305,0.0505215680062629,0.2,0.0021678431721921,50.0,0.5858322940471128,0.7974842767295598,0,0
306,0.048121334865666,0.2,0.001375128202842,50.0,0.630108518873827,0.8150943396226416,0,0
313,0.048330206273411,0.2,0.0016915322149166,50.0,0.5994246077560127,0.7861635220125787,0,0
330,0.0501509626515218,0.2,0.0047779068777857,50.0,0.5915063333464853,0.9069182389937107,0,0
357,0.047996905518805,0.2,0.0015107617084022,50.0,0.6076083566599116,0.8075471698113208,0,0
358,0.0477914482519648,0.2,0.0015865250787378,50.0,0.7712159880505121,0.8125786163522013,0,0
359,0.0476945627189749,0.2,0.0015897328219274,50.0,0.7272219137832644,0.8062893081761007,0,0
360,0.047555200567787,0.2,0.0015941292750944,50.0,0.6069744714718448,0.8012578616352202,0,0
370,0.0466116982829075,0.2,0.0015846663501851,50.0,0.7791582813930525,0.8025157232704403,0,0
