trial_number,gamma,theta,m0,beta_prime,narma10_nrmse,ti46_accuracy,kr_threshold,gr_threshold
3,0.1327246523368315,0.1022003020964571,0.0078687770525483,20.0,0.6743577652034682,0.8,7,5
52,0.1046230658534129,0.0789185261398854,0.0058804061918136,20.0,0.7183215887758702,0.7823899371069183,9,2
140,0.1046230658534129,0.1022003020964571,0.0056638213356351,20.0,0.6839666952891733,0.7911949685534592,7,2
149,0.1046230658534129,0.0789185261398854,0.0058804061918136,20.0,0.7183215887758702,0.7811320754716982,9,2
244,0.1046230658534129,0.0789185261398854,0.0058804061918136,20.0,0.7183215887758702,0.7748427672955975,9,2
304,0.1046230658534129,0.0789185261398854,0.0058804061918136,20.0,0.7183215887758702,0.7823899371069183,9,2
314,0.0859587031849609,0.0789185261398854,0.0078869908440316,20.0,0.7886994541491328,0.7723270440251573,6,1
330,0.1026922604592677,0.1022003020964571,0.0072576103994375,20.0,0.6736043962680601,0.7811320754716982,6,2
391,0.1046230658534129,0.0789185261398854,0.005974700052822,20.0,0.7417083876852771,0.7786163522012579,9,2
400,0.0707559779961009,0.0789185261398854,0.0047975131166745,20.0,0.7986618867069957,0.7748427672955975,9,1
407,0.1046230658534129,0.0789185261398854,0.0020659188022817,20.0,0.7784957612941786,0.7836477987421384,17,2
414,0.0859587031849609,0.0789185261398854,0.0078869908440316,20.0,0.7886994541491328,0.779874213836478,6,1
426,0.1046230658534129,0.0789185261398854,0.0058804061918136,20.0,0.7183215887758702,0.7849056603773585,9,2
439,0.121325844649737,0.0789185261398854,0.007337578640766,20.0,0.6571599575941913,0.7823899371069183,6,3
445,0.1046230658534129,0.0789185261398854,0.0058804061918136,20.0,0.7183215887758702,0.769811320754717,9,2
452,0.1046230658534129,0.0789185261398854,0.0058804061918136,20.0,0.7183215887758702,0.789937106918239,9,2
456,0.0707559779961009,0.0789185261398854,0.007337578640766,20.0,0.7972591643484761,0.7836477987421384,8,1
457,0.1046230658534129,0.0789185261398854,0.0058804061918136,20.0,0.7183215887758702,0.7786163522012579,9,2
467,0.1046230658534129,0.0789185261398854,0.0058804061918136,20.0,0.7183215887758702,0.7748427672955975,9,2
499,0.1046230658534129,0.0789185261398854,0.0020659188022817,20.0,0.7784957612941786,0.7874213836477988,17,2
503,0.1046230658534129,0.1022003020964571,0.0056638213356351,20.0,0.6839666952891733,0.7924528301886793,7,2
512,0.1046230658534129,0.0789185261398854,0.0020659188022817,20.0,0.7784957612941786,0.8,17,2
514,0.1046230658534129,0.0789185261398854,0.0078869908440316,20.0,0.7788825085919782,0.789937106918239,6,2
538,0.1327246523368315,0.0789185261398854,0.0078687770525483,20.0,0.7041404552295164,0.789937106918239,7,4
559,0.1046230658534129,0.0789185261398854,0.0058804061918136,20.0,0.7183215887758702,0.7773584905660378,9,2
562,0.1046230658534129,0.0789185261398854,0.0058804061918136,20.0,0.7183215887758702,0.7836477987421384,9,2
571,0.1046230658534129,0.1600488990525741,0.0078687770525483,20.0,0.8080926795642481,0.8075471698113208,6,2
582,0.1046230658534129,0.1022003020964571,0.0056638213356351,20.0,0.6839666952891733,0.7811320754716982,7,2
583,0.1026922604592677,0.1022003020964571,0.0072576103994375,20.0,0.6736043962680601,0.7836477987421384,6,2
596,0.0859587031849609,0.0789185261398854,0.0078869908440316,20.0,0.7886994541491328,0.7710691823899372,6,1
