trial_number,gamma,theta,m0,beta_prime,narma10_nrmse,ti46_accuracy
90,0.0458254062226524,0.1641336968704283,0.008,50.0,0.6571897065623742,0.9685534591194969
109,0.0593634262802484,0.1479915825896813,0.008,39.70001479261286,0.670976249635739,0.9534591194968554
214,0.1458677537801147,0.2089013164228773,0.008,20.0,0.675860592047526,0.9446540880503145
230,0.1306844250509787,0.1570760778924004,0.008,20.0,0.6981486659820791,0.8679245283018868
253,0.0705354528015261,0.1749242874687441,0.008,34.96813949721422,0.6168768362742255,0.9471698113207547
