result_schema_version,study_id,run_id,frontier_point_id,frontier_scope,endpoint_ref,family,family_role,source_trial_id,source_optuna_trial_number,MC,CQ,KR,GR,beta_prime,theta,gamma,m0,Nvirt,geometry_mode,morphology_scheme,morphology_n_instances,morphology_beta_spread,morphology_weights_mode,pareto_rank,duplicate_count,frontier_algorithm,dominance_epsilon,generated_at_utc
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v1,run_20260312_202651,uniform_frontier_0001,family_primary_endpoint,comparison.primary_endpoint,uniform,baseline,uniform_trial_0002,1,3.7770266143663775,85.0,86.0,1.0,20.0,0.2,0.05,0.01,100,uniform,,,,,0,1,pareto_nondominated,0.0,2026-03-13T03:01:52Z
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v1,run_20260312_202651,uniform_frontier_0002,family_primary_endpoint,comparison.primary_endpoint,uniform,baseline,uniform_trial_0010,9,3.947174712964957,84.0,85.0,1.0,20.0,0.2,0.05,0.01,100,uniform,,,,,0,1,pareto_nondominated,0.0,2026-03-13T03:01:52Z
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v1,run_20260312_202651,uniform_frontier_0003,family_primary_endpoint,comparison.primary_endpoint,uniform,baseline,uniform_trial_0014,13,4.971244941089767,82.0,83.0,1.0,20.0,0.2,0.05,0.01,100,uniform,,,,,0,1,pareto_nondominated,0.0,2026-03-13T03:01:52Z
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v1,run_20260312_202651,uniform_frontier_0004,family_primary_endpoint,comparison.primary_endpoint,uniform,baseline,uniform_trial_0053,52,4.30196351931405,83.0,84.0,1.0,20.0,0.2,0.05,0.01,100,uniform,,,,,0,1,pareto_nondominated,0.0,2026-03-13T03:01:52Z
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v1,run_20260312_202651,heterogeneous_frontier_0001,family_primary_endpoint,comparison.primary_endpoint,heterogeneous,candidate,heterogeneous_trial_0041,40,4.1678818859222755,76.0,77.0,1.0,20.0,0.2,0.05,0.01,100,distributional_beta,random,5,3.0,equal,0,1,pareto_nondominated,0.0,2026-03-13T03:01:52Z
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v1,run_20260312_202651,heterogeneous_frontier_0002,family_primary_endpoint,comparison.primary_endpoint,heterogeneous,candidate,heterogeneous_trial_0047,46,4.3445206166846395,74.0,75.0,1.0,20.0,0.2,0.05,0.01,100,distributional_beta,random,5,3.0,equal,0,1,pareto_nondominated,0.0,2026-03-13T03:01:52Z
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v1,run_20260312_202651,heterogeneous_frontier_0003,family_primary_endpoint,comparison.primary_endpoint,heterogeneous,candidate,heterogeneous_trial_0075,74,3.7389102113162553,77.0,78.0,1.0,20.0,0.2,0.05,0.01,100,distributional_beta,random,5,3.0,equal,0,1,pareto_nondominated,0.0,2026-03-13T03:01:52Z
