study_id,run_id,sweep_parameter,sweep_index,sweep_value,family,family_role,trial_id,status,failure_code,failure_message,nominal_beta_prime,nominal_theta,nominal_gamma,nominal_m0,nominal_n_instances,nominal_beta_spread,applied_beta_prime,applied_theta,applied_gamma,applied_m0,applied_n_instances,applied_beta_spread,Nvirt,geometry_mode,morphology_scheme,morphology_weights_mode,morphology_seed,trial_seed,input_signal_seed,mask_seed,MC,KR,GR,CQ,runtime_seconds,started_at_utc,finished_at_utc
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,m0,1,0.001,uniform,baseline,m0_sweep_01_uniform,completed,,,20.0,0.2,0.05,0.001,5,3.0,20.0,0.2,0.05,0.001,,,100,uniform,,,,558317995,3659360184,941084673,3.1981869131666003,68.0,1.0,67.0,95.33415960008278,2026-03-14T23:03:35Z,2026-03-14T23:05:11Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,m0,1,0.001,heterogeneous,candidate,m0_sweep_01_heterogeneous,completed,,,20.0,0.2,0.05,0.001,5,3.0,20.0,0.2,0.05,0.001,5,3.0,100,distributional_beta,random,equal,3897761708,558317995,3659360184,941084673,2.6702778557290823,75.0,1.0,74.0,138.21264440007508,2026-03-14T23:05:11Z,2026-03-14T23:07:29Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,m0,2,0.002,uniform,baseline,m0_sweep_02_uniform,completed,,,20.0,0.2,0.05,0.002,5,3.0,20.0,0.2,0.05,0.002,,,100,uniform,,,,2229074049,1163828947,2400508265,3.0516061093892937,74.0,1.0,73.0,96.24937060009688,2026-03-14T23:07:29Z,2026-03-14T23:09:05Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,m0,2,0.002,heterogeneous,candidate,m0_sweep_02_heterogeneous,completed,,,20.0,0.2,0.05,0.002,5,3.0,20.0,0.2,0.05,0.002,5,3.0,100,distributional_beta,random,equal,3897761708,2229074049,1163828947,2400508265,3.078942789948657,81.0,1.0,80.0,138.50129729998298,2026-03-14T23:09:05Z,2026-03-14T23:11:24Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,m0,3,0.003,uniform,baseline,m0_sweep_03_uniform,completed,,,20.0,0.2,0.05,0.003,5,3.0,20.0,0.2,0.05,0.003,,,100,uniform,,,,3632097554,465452834,657304465,2.9284984717124525,77.0,1.0,76.0,95.24674899992533,2026-03-14T23:11:24Z,2026-03-14T23:12:59Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,m0,3,0.003,heterogeneous,candidate,m0_sweep_03_heterogeneous,completed,,,20.0,0.2,0.05,0.003,5,3.0,20.0,0.2,0.05,0.003,5,3.0,100,distributional_beta,random,equal,3897761708,3632097554,465452834,657304465,2.8290118225315224,81.0,1.0,80.0,136.81269649998285,2026-03-14T23:12:59Z,2026-03-14T23:15:16Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,m0,4,0.004,uniform,baseline,m0_sweep_04_uniform,completed,,,20.0,0.2,0.05,0.004,5,3.0,20.0,0.2,0.05,0.004,,,100,uniform,,,,2567759408,260932833,1910684027,2.5538510793142644,86.0,1.0,85.0,96.24790779990144,2026-03-14T23:15:16Z,2026-03-14T23:16:52Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,m0,4,0.004,heterogeneous,candidate,m0_sweep_04_heterogeneous,completed,,,20.0,0.2,0.05,0.004,5,3.0,20.0,0.2,0.05,0.004,5,3.0,100,distributional_beta,random,equal,3897761708,2567759408,260932833,1910684027,2.6655567804927975,84.0,1.0,83.0,138.69510659994557,2026-03-14T23:16:52Z,2026-03-14T23:19:11Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,m0,5,0.005,uniform,baseline,m0_sweep_05_uniform,completed,,,20.0,0.2,0.05,0.005,5,3.0,20.0,0.2,0.05,0.005,,,100,uniform,,,,497034915,2991699869,3440523128,3.573132280485159,86.0,1.0,85.0,95.08264589984901,2026-03-14T23:19:11Z,2026-03-14T23:20:46Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,m0,5,0.005,heterogeneous,candidate,m0_sweep_05_heterogeneous,completed,,,20.0,0.2,0.05,0.005,5,3.0,20.0,0.2,0.05,0.005,5,3.0,100,distributional_beta,random,equal,3897761708,497034915,2991699869,3440523128,3.260141351606393,86.0,1.0,85.0,136.5562436999753,2026-03-14T23:20:46Z,2026-03-14T23:23:02Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,m0,6,0.006,uniform,baseline,m0_sweep_06_uniform,completed,,,20.0,0.2,0.05,0.006,5,3.0,20.0,0.2,0.05,0.006,,,100,uniform,,,,1083038525,86752051,1321251118,3.2184108307094004,83.0,1.0,82.0,95.00989430001937,2026-03-14T23:23:02Z,2026-03-14T23:24:37Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,m0,6,0.006,heterogeneous,candidate,m0_sweep_06_heterogeneous,completed,,,20.0,0.2,0.05,0.006,5,3.0,20.0,0.2,0.05,0.006,5,3.0,100,distributional_beta,random,equal,3897761708,1083038525,86752051,1321251118,3.3076395708908226,74.0,1.0,73.0,137.77950840000995,2026-03-14T23:24:37Z,2026-03-14T23:26:55Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,m0,7,0.007,uniform,baseline,m0_sweep_07_uniform,completed,,,20.0,0.2,0.05,0.007,5,3.0,20.0,0.2,0.05,0.007,,,100,uniform,,,,536348740,3660727062,2092807939,2.9664718882626486,87.0,1.0,86.0,95.6015884000808,2026-03-14T23:26:55Z,2026-03-14T23:28:31Z
uniform_vs_heterogeneous_single_factor_tims_sweep_v1,run_20260314_210719,m0,7,0.007,heterogeneous,candidate,m0_sweep_07_heterogeneous,completed,,,20.0,0.2,0.05,0.007,5,3.0,20.0,0.2,0.05,0.007,5,3.0,100,distributional_beta,random,equal,3897761708,536348740,3660727062,2092807939,2.970428491651993,79.0,1.0,78.0,137.2464177000802,2026-03-14T23:28:31Z,2026-03-14T23:30:48Z
