magnitude,MC,KR,GR,CQ
1e-05,3.539475784826163,4,1,3
0.0001,3.062698286921763,4,1,3
0.001,1.8813241996678114,5,1,4
0.01,0.845952120369424,4,1,3
0.1,0.10490898479942143,3,1,2
