study_id,run_id,pair_name,grid_index,x_parameter,x_index,x_value,y_parameter,y_index,y_value,family,family_role,trial_id,status,failure_code,failure_message,nominal_beta_prime,nominal_theta,nominal_gamma,nominal_m0,nominal_n_instances,nominal_beta_spread,applied_beta_prime,applied_theta,applied_gamma,applied_m0,applied_n_instances,applied_beta_spread,Nvirt,geometry_mode,morphology_scheme,morphology_weights_mode,morphology_seed,trial_seed,input_signal_seed,mask_seed,MC,KR,GR,CQ,runtime_seconds,started_at_utc,finished_at_utc
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,6,gamma,2,0.0575,beta_spread,1,1.0,uniform,baseline,gamma__beta_spread_grid_06_uniform,completed,,,20.0,0.2,0.0575,0.01,5,1.0,20.0,0.2,0.0575,0.01,,,100,uniform,,,,3674642019,197127348,1575782690,3.365733924632787,84.0,1.0,83.0,94.63271759985946,2026-03-15T19:55:16Z,2026-03-15T19:56:51Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,6,gamma,2,0.0575,beta_spread,1,1.0,heterogeneous,candidate,gamma__beta_spread_grid_06_heterogeneous,completed,,,20.0,0.2,0.0575,0.01,5,1.0,20.0,0.2,0.0575,0.01,5,1.0,100,distributional_beta,random,equal,3897761708,3674642019,197127348,1575782690,3.569946731275408,75.0,1.0,74.0,137.45616299984977,2026-03-15T19:56:51Z,2026-03-15T19:59:08Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,7,gamma,2,0.0575,beta_spread,2,3.25,uniform,baseline,gamma__beta_spread_grid_07_uniform,completed,,,20.0,0.2,0.0575,0.01,5,3.25,20.0,0.2,0.0575,0.01,,,100,uniform,,,,1114913486,3562356698,603261200,3.9264834545785297,85.0,2.0,83.0,93.91593220015056,2026-03-15T19:59:08Z,2026-03-15T20:00:42Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,7,gamma,2,0.0575,beta_spread,2,3.25,heterogeneous,candidate,gamma__beta_spread_grid_07_heterogeneous,completed,,,20.0,0.2,0.0575,0.01,5,3.25,20.0,0.2,0.0575,0.01,5,3.25,100,distributional_beta,random,equal,3897761708,1114913486,3562356698,603261200,3.779489016812512,74.0,2.0,72.0,137.71097430004738,2026-03-15T20:00:42Z,2026-03-15T20:03:00Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,8,gamma,2,0.0575,beta_spread,3,5.5,uniform,baseline,gamma__beta_spread_grid_08_uniform,completed,,,20.0,0.2,0.0575,0.01,5,5.5,20.0,0.2,0.0575,0.01,,,100,uniform,,,,4155612598,2950716164,3634970298,3.566282239664761,85.0,1.0,84.0,94.1534929999616,2026-03-15T20:03:00Z,2026-03-15T20:04:34Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,8,gamma,2,0.0575,beta_spread,3,5.5,heterogeneous,candidate,gamma__beta_spread_grid_08_heterogeneous,completed,,,20.0,0.2,0.0575,0.01,5,5.5,20.0,0.2,0.0575,0.01,5,5.5,100,distributional_beta,random,equal,3897761708,4155612598,2950716164,3634970298,3.630570306342607,74.0,2.0,72.0,138.25677049998194,2026-03-15T20:04:34Z,2026-03-15T20:06:52Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,9,gamma,2,0.0575,beta_spread,4,7.75,uniform,baseline,gamma__beta_spread_grid_09_uniform,completed,,,20.0,0.2,0.0575,0.01,5,7.75,20.0,0.2,0.0575,0.01,,,100,uniform,,,,3466675583,2489532575,251190536,2.901242559950173,80.0,1.0,79.0,94.32192080002278,2026-03-15T20:06:52Z,2026-03-15T20:08:27Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,9,gamma,2,0.0575,beta_spread,4,7.75,heterogeneous,candidate,gamma__beta_spread_grid_09_heterogeneous,completed,,,20.0,0.2,0.0575,0.01,5,7.75,20.0,0.2,0.0575,0.01,5,7.75,100,distributional_beta,random,equal,3897761708,3466675583,2489532575,251190536,3.167534106092443,66.0,5.0,61.0,137.60902339988388,2026-03-15T20:08:27Z,2026-03-15T20:10:44Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,10,gamma,2,0.0575,beta_spread,5,10.0,uniform,baseline,gamma__beta_spread_grid_10_uniform,completed,,,20.0,0.2,0.0575,0.01,5,10.0,20.0,0.2,0.0575,0.01,,,100,uniform,,,,2991796349,613259515,2139452372,3.3012792969272144,89.0,1.0,88.0,94.13888329989277,2026-03-15T20:10:44Z,2026-03-15T20:12:18Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,10,gamma,2,0.0575,beta_spread,5,10.0,heterogeneous,candidate,gamma__beta_spread_grid_10_heterogeneous,completed,,,20.0,0.2,0.0575,0.01,5,10.0,20.0,0.2,0.0575,0.01,5,10.0,100,distributional_beta,random,equal,3897761708,2991796349,613259515,2139452372,3.152705982128066,65.0,3.0,62.0,137.3998881999869,2026-03-15T20:12:18Z,2026-03-15T20:14:36Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,11,gamma,3,0.105,beta_spread,1,1.0,uniform,baseline,gamma__beta_spread_grid_11_uniform,completed,,,20.0,0.2,0.105,0.01,5,1.0,20.0,0.2,0.105,0.01,,,100,uniform,,,,2441579381,3226292977,3155273811,5.865175741886321,88.0,11.0,77.0,94.55792679986916,2026-03-15T20:14:36Z,2026-03-15T20:16:10Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,11,gamma,3,0.105,beta_spread,1,1.0,heterogeneous,candidate,gamma__beta_spread_grid_11_heterogeneous,completed,,,20.0,0.2,0.105,0.01,5,1.0,20.0,0.2,0.105,0.01,5,1.0,100,distributional_beta,random,equal,3897761708,2441579381,3226292977,3155273811,5.806842638801319,80.0,10.0,70.0,137.73544310010038,2026-03-15T20:16:10Z,2026-03-15T20:18:28Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,12,gamma,3,0.105,beta_spread,2,3.25,uniform,baseline,gamma__beta_spread_grid_12_uniform,completed,,,20.0,0.2,0.105,0.01,5,3.25,20.0,0.2,0.105,0.01,,,100,uniform,,,,3399046329,105567002,3538405635,4.766052635905927,88.0,13.0,75.0,93.82038230006583,2026-03-15T20:18:28Z,2026-03-15T20:20:02Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,12,gamma,3,0.105,beta_spread,2,3.25,heterogeneous,candidate,gamma__beta_spread_grid_12_heterogeneous,completed,,,20.0,0.2,0.105,0.01,5,3.25,20.0,0.2,0.105,0.01,5,3.25,100,distributional_beta,random,equal,3897761708,3399046329,105567002,3538405635,4.812575862357539,76.0,10.0,66.0,138.1701593999751,2026-03-15T20:20:02Z,2026-03-15T20:22:20Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,13,gamma,3,0.105,beta_spread,3,5.5,uniform,baseline,gamma__beta_spread_grid_13_uniform,completed,,,20.0,0.2,0.105,0.01,5,5.5,20.0,0.2,0.105,0.01,,,100,uniform,,,,2772892357,573195434,330138774,5.7217478772242325,88.0,16.0,72.0,94.22988849994726,2026-03-15T20:22:20Z,2026-03-15T20:23:54Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,13,gamma,3,0.105,beta_spread,3,5.5,heterogeneous,candidate,gamma__beta_spread_grid_13_heterogeneous,completed,,,20.0,0.2,0.105,0.01,5,5.5,20.0,0.2,0.105,0.01,5,5.5,100,distributional_beta,random,equal,3897761708,2772892357,573195434,330138774,5.762941560324036,82.0,25.0,57.0,138.571829700144,2026-03-15T20:23:54Z,2026-03-15T20:26:13Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,14,gamma,3,0.105,beta_spread,4,7.75,uniform,baseline,gamma__beta_spread_grid_14_uniform,completed,,,20.0,0.2,0.105,0.01,5,7.75,20.0,0.2,0.105,0.01,,,100,uniform,,,,1216942461,2247756541,3295575055,4.321993655083216,87.0,10.0,77.0,94.13374039996415,2026-03-15T20:26:13Z,2026-03-15T20:27:47Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,14,gamma,3,0.105,beta_spread,4,7.75,heterogeneous,candidate,gamma__beta_spread_grid_14_heterogeneous,completed,,,20.0,0.2,0.105,0.01,5,7.75,20.0,0.2,0.105,0.01,5,7.75,100,distributional_beta,random,equal,3897761708,1216942461,2247756541,3295575055,3.919921662127466,70.0,22.0,48.0,137.88307729992084,2026-03-15T20:27:47Z,2026-03-15T20:30:05Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,15,gamma,3,0.105,beta_spread,5,10.0,uniform,baseline,gamma__beta_spread_grid_15_uniform,completed,,,20.0,0.2,0.105,0.01,5,10.0,20.0,0.2,0.105,0.01,,,100,uniform,,,,3817178802,2663742205,1203276101,4.514257668953868,83.0,13.0,70.0,94.10280489991419,2026-03-15T20:30:05Z,2026-03-15T20:31:39Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,15,gamma,3,0.105,beta_spread,5,10.0,heterogeneous,candidate,gamma__beta_spread_grid_15_heterogeneous,completed,,,20.0,0.2,0.105,0.01,5,10.0,20.0,0.2,0.105,0.01,5,10.0,100,distributional_beta,random,equal,3897761708,3817178802,2663742205,1203276101,4.61716232079742,47.0,24.0,23.0,136.94912430015393,2026-03-15T20:31:39Z,2026-03-15T20:33:56Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,16,gamma,4,0.15250000000000002,beta_spread,1,1.0,uniform,baseline,gamma__beta_spread_grid_16_uniform,completed,,,20.0,0.2,0.15250000000000002,0.01,5,1.0,20.0,0.2,0.15250000000000002,0.01,,,100,uniform,,,,3630786435,2612199973,3084134822,4.323299974236196,89.0,80.0,9.0,94.516478799982,2026-03-15T20:33:56Z,2026-03-15T20:35:31Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,16,gamma,4,0.15250000000000002,beta_spread,1,1.0,heterogeneous,candidate,gamma__beta_spread_grid_16_heterogeneous,completed,,,20.0,0.2,0.15250000000000002,0.01,5,1.0,20.0,0.2,0.15250000000000002,0.01,5,1.0,100,distributional_beta,random,equal,3897761708,3630786435,2612199973,3084134822,4.241192434450118,82.0,61.0,21.0,137.59663809998892,2026-03-15T20:35:31Z,2026-03-15T20:37:48Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,17,gamma,4,0.15250000000000002,beta_spread,2,3.25,uniform,baseline,gamma__beta_spread_grid_17_uniform,completed,,,20.0,0.2,0.15250000000000002,0.01,5,3.25,20.0,0.2,0.15250000000000002,0.01,,,100,uniform,,,,1931504032,2577420026,95342730,5.06145236839368,84.0,76.0,8.0,93.73449900001287,2026-03-15T20:37:48Z,2026-03-15T20:39:22Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,17,gamma,4,0.15250000000000002,beta_spread,2,3.25,heterogeneous,candidate,gamma__beta_spread_grid_17_heterogeneous,completed,,,20.0,0.2,0.15250000000000002,0.01,5,3.25,20.0,0.2,0.15250000000000002,0.01,5,3.25,100,distributional_beta,random,equal,3897761708,1931504032,2577420026,95342730,2.808089439134864,75.0,61.0,14.0,137.45730639994144,2026-03-15T20:39:22Z,2026-03-15T20:41:39Z
uniform_vs_heterogeneous_parameter_pair_tims_sweep_v1,run_20260315_113140,gamma__beta_spread,18,gamma,4,0.15250000000000002,beta_spread,3,5.5,uniform,baseline,gamma__beta_spread_grid_18_uniform,completed,,,20.0,0.2,0.15250000000000002,0.01,5,5.5,20.0,0.2,0.15250000000000002,0.01,,,100,uniform,,,,3041141250,1564353106,1114174333,4.101171032733456,88.0,78.0,10.0,93.93006639997475,2026-03-15T20:41:39Z,2026-03-15T20:43:13Z
