number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,attr_gating_status,attr_softgate_score,attr_softgate_info.Sat,attr_softgate_info.Drift,attr_softgate_info.LagRatio,attr_softgate_info.THD,attr_softgate_info.z_sat,attr_softgate_info.z_drift,attr_softgate_info.z_lag,attr_softgate_info.z_thd,attr_CQ,attr_GR,attr_KR,attr_MC
11,COMPLETE,"[-5.0, -5.0]",2025-09-04T14:39:01.119472,2025-09-04T14:39:01.791072,0.6716,0.09191602428376777,0.12481096520695519,0.004710607651786729,50.0,penalized,0.5409723361128391,0.126,0.05971065554864328,1.644,2.100367659389833,0.874,0.9402893444513567,0.0,0.0,,,,
12,COMPLETE,"[-5.0, -5.0]",2025-09-04T14:39:01.802083,2025-09-04T14:39:02.473682,0.671599,0.6324410744623842,0.42915903537569605,0.02061588227439693,50.0,penalized,0.2906269125480612,0.736,0.20709234980775498,2.388,5.079453931545754,0.264,0.792907650192245,0.0,0.0,,,,
13,COMPLETE,"[-5.0, -5.0]",2025-09-04T14:39:02.483691,2025-09-04T14:39:03.142280,0.658589,0.6282178839326323,0.4440534433162966,0.011155280376809566,50.0,penalized,0.30305401512894825,0.688,0.22458393948420713,2.392,3.9744357805772426,0.31200000000000006,0.7754160605157929,0.0,0.0,,,,
14,COMPLETE,"[-5.0, -5.0]",2025-09-04T14:39:03.152289,2025-09-04T14:39:03.826891,0.674602,0.16095593618709902,0.143198885622698,0.09035820941915394,50.0,penalized,0.32466005942191867,0.711,0.10595976231232536,1.152,3.4058681799038455,0.28900000000000003,0.8940402376876746,0.0,0.0,,,,
15,COMPLETE,"[8.0, 3.249226401923866]",2025-09-04T14:39:03.836900,2025-09-04T14:46:57.914615,474.077715,0.09204386121000924,0.021209471145828475,0.02964126272343285,50.0,passed,0.660202812817253,0.194,0.005437826457657175,0.044,0.45815092227333054,0.806,0.9945621735423428,0.21999999999999986,0.42731134715833685,8.0,2.0,10.0,3.249226401923866
16,COMPLETE,"[-5.0, -5.0]",2025-09-04T14:46:57.924624,2025-09-04T14:46:58.609235,0.684611,0.18237806735524745,0.18529824307023773,0.07723268678222944,50.0,penalized,0.2998619255226303,0.761,0.13515229790947877,1.184,4.969262895521906,0.239,0.8648477020905212,0.0,0.0,,,,
17,COMPLETE,"[5.0, 4.528372199965294]",2025-09-04T14:46:58.620245,2025-09-04T14:54:51.847002,473.226757,0.02712001196199898,0.07987285866308844,0.04617849964842498,50.0,passed,0.6411174039846455,0.317,0.003633393090577556,0.0,0.18809699097084095,0.683,0.9963666069094225,0.0,0.7648787612864488,5.0,1.0,6.0,4.528372199965294
18,COMPLETE,"[-5.0, -5.0]",2025-09-04T14:54:51.857010,2025-09-04T14:54:52.509594,0.652584,0.27407167274694827,0.2575185373304756,0.07529587011880073,50.0,penalized,0.27889962225637555,0.799,0.1658015109744977,2.076,7.112700689700884,0.20099999999999996,0.8341984890255023,0.0,0.0,,,,
19,COMPLETE,"[-5.0, -5.0]",2025-09-04T14:54:52.519602,2025-09-04T14:54:53.176189,0.656587,0.3597319356994718,0.30140988830584015,0.09942628035826645,50.0,penalized,0.25866646594495424,0.854,0.16973413622018313,2.088,9.607694608565534,0.14600000000000002,0.8302658637798168,0.0,0.0,,,,
20,COMPLETE,"[-5.0, -5.0]",2025-09-04T14:54:53.187198,2025-09-04T14:54:53.848790,0.661592,0.27221129035141,0.19597947799089468,0.016117067211384603,50.0,penalized,0.34155053670368596,0.604,0.18819785318525606,1.536,3.325698425874798,0.396,0.8118021468147439,0.0,0.0,,,,
21,COMPLETE,"[-5.0, -5.0]",2025-09-04T14:54:53.859799,2025-09-04T14:54:54.536404,0.676605,0.36026529162441173,0.530320792938761,0.012788268823221295,50.0,penalized,0.3213168821613902,0.628,0.2355324713544391,1.496,3.5011614884577016,0.372,0.7644675286455609,0.0,0.0,,,,
22,COMPLETE,"[-5.0, -5.0]",2025-09-04T14:54:54.546413,2025-09-04T14:54:55.223017,0.676604,0.6941063062718924,0.16888521590617497,0.05933980189566036,50.0,penalized,0.28639171231813837,0.766,0.1820331507274465,2.4,7.897042204638956,0.23399999999999999,0.8179668492725535,0.0,0.0,,,,
23,COMPLETE,"[-5.0, -5.0]",2025-09-04T14:54:55.235028,2025-09-04T14:54:55.948665,0.713637,0.6333603644304052,0.302518823992532,0.031561030615641236,50.0,penalized,0.28452695716872,0.754,0.20629217132511993,2.396,5.7662074173130735,0.246,0.7937078286748801,0.0,0.0,,,,
24,COMPLETE,"[-5.0, -5.0]",2025-09-04T14:54:55.960676,2025-09-04T14:54:56.632276,0.6716,0.40920374399295945,0.04337011172042289,0.09280597684120843,50.0,penalized,0.30449930993538776,0.767,0.10820276025844894,1.144,5.1399935895751,0.23299999999999998,0.891797239741551,0.0,0.0,,,,
25,COMPLETE,"[-5.0, -5.0]",2025-09-04T14:54:56.642285,2025-09-04T14:54:57.307880,0.665595,0.6369395683233816,0.24291876754602304,0.05695343924486625,50.0,penalized,0.2824815172290597,0.77,0.19207393108376136,2.4,7.703197155870089,0.22999999999999998,0.8079260689162386,0.0,0.0,,,,
26,COMPLETE,"[-5.0, -5.0]",2025-09-04T14:54:57.317889,2025-09-04T14:54:57.974475,0.656586,0.5243932223485156,0.4520756130768675,0.06767880000902313,50.0,penalized,0.2764545135554365,0.798,0.17698194577825407,2.388,9.473390130835973,0.20199999999999996,0.8230180542217459,0.0,0.0,,,,
27,COMPLETE,"[-5.0, -5.0]",2025-09-04T14:54:57.986485,2025-09-04T14:54:58.657085,0.6706,0.18881399336359125,0.09312106023467426,0.0011752445891248032,50.0,penalized,0.5401600656275596,0.104,0.09375973748976135,2.492,1.8625839193062639,0.896,0.9062402625102386,0.0,0.0,,,,
28,COMPLETE,"[-5.0, -5.0]",2025-09-04T14:54:58.668095,2025-09-04T14:54:59.343699,0.675604,0.11740335991547442,0.030979489027794772,0.06931761228607985,50.0,penalized,0.5099859760729241,0.46,0.05523931852658935,0.028,0.5728167771817144,0.54,0.9447606814734106,0.14,0.28397902852285706,,,,
29,COMPLETE,"[-5.0, -5.0]",2025-09-04T14:54:59.353708,2025-09-04T14:55:00.044324,0.690616,0.20765402431166616,0.3280550455593295,0.013090900484407836,50.0,penalized,0.36700399752354196,0.518,0.20678400990583204,1.516,2.963740938752287,0.482,0.793215990094168,0.0,0.0,,,,
30,COMPLETE,"[-5.0, -5.0]",2025-09-04T14:55:00.056335,2025-09-04T14:55:00.723932,0.667597,0.08398264693926301,0.5189424525454027,0.00109805436668318,50.0,penalized,0.5036173152763248,0.181,0.13213073889470073,1.184,3.5618378180210746,0.819,0.8678692611052993,0.0,0.0,,,,
31,COMPLETE,"[-5.0, -5.0]",2025-09-04T14:55:00.734942,2025-09-04T14:55:01.396533,0.661591,0.6100458543092344,0.25336094942653004,0.06433973099912768,50.0,penalized,0.2783989356390465,0.784,0.18880425744381404,2.4,8.232705367817768,0.21599999999999997,0.811195742556186,0.0,0.0,,,,
32,COMPLETE,"[-5.0, -5.0]",2025-09-04T14:55:01.406541,2025-09-04T14:55:02.075139,0.668598,0.780937247256223,0.46009462606425666,0.03686955710519881,50.0,penalized,0.29165934437871627,0.752,0.18056262248513483,2.38,6.704736026909865,0.248,0.8194373775148651,0.0,0.0,,,,
33,COMPLETE,"[-5.0, -5.0]",2025-09-04T14:55:02.086148,2025-09-04T14:55:02.755747,0.669599,0.16789351108105377,0.3264002517802859,0.08721827436586217,50.0,penalized,0.28931058606076737,0.784,0.14515765575693057,1.184,5.743992109410455,0.21599999999999997,0.8548423442430695,0.0,0.0,,,,
34,COMPLETE,"[-5.0, -5.0]",2025-09-04T14:55:02.766756,2025-09-04T14:55:03.429348,0.662592,0.3009703836314739,0.3515665364216979,0.01089253479343984,50.0,penalized,0.34938526340734516,0.556,0.22405894637061924,1.504,3.0771718446041127,0.44399999999999995,0.7759410536293807,0.0,0.0,,,,
35,COMPLETE,"[6.0, 5.903726594020888]",2025-09-04T14:55:03.439357,2025-09-04T15:02:55.242842,471.803485,0.054491652422439966,0.15655485837628175,0.034430780467640275,50.0,passed,0.665655347102567,0.241,0.03749522604199405,0.084,0.49848338554773836,0.759,0.9625047739580059,0.42000000000000004,0.3768957680653271,6.0,4.0,10.0,5.903726594020888
36,COMPLETE,"[-5.0, -5.0]",2025-09-04T15:02:55.253852,2025-09-04T15:02:55.910439,0.656587,0.6689180354601917,0.3426929960097603,0.04191972716425788,50.0,penalized,0.28503162040447017,0.762,0.19307351838211942,2.392,6.743723634171126,0.238,0.8069264816178806,0.0,0.0,,,,
