number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,attr_gating_status,attr_narma10_nrmse,attr_CQ,attr_GR,attr_KR,attr_MC
29,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:05:21.936538,2025-09-01T17:06:00.943086,39.006548,0.17317177653535573,0.5217249554300951,0.07677661497353078,50.0,penalized,1.0069610674648781,,,,
30,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:06:00.953229,2025-09-01T17:06:39.973737,39.020508,0.23053093580248607,0.1644537797113346,0.09498046637304795,50.0,penalized,1.0065083600898497,,,,
31,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:06:39.983903,2025-09-01T17:07:19.152281,39.168378,0.0465649619097154,0.02752041681568007,0.02693855952525349,50.0,penalized,1.071145231759453,,,,
32,COMPLETE,"[7.0, 5.11540459751616]",2025-09-01T17:07:19.162296,2025-09-01T17:15:51.350112,512.187816,0.044572779737187235,0.0467625474971101,0.003094954532084707,50.0,passed,0.7761193491192585,7.0,2.0,9.0,5.11540459751616
33,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:15:51.360121,2025-09-01T17:16:30.321838,38.961717,0.7685320659811019,0.4542379228991968,0.06526436974285311,50.0,penalized,1.195838268124668,,,,
34,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:16:30.332849,2025-09-01T17:17:09.096174,38.763325,0.26977352848322483,0.3411521536036928,0.07640737108201032,50.0,penalized,1.0110018712778708,,,,
35,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:17:09.107184,2025-09-01T17:17:48.024380,38.917196,0.7022822387592909,0.3486823977672208,0.03661053526758246,50.0,penalized,1.0229207478362867,,,,
36,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:17:48.034758,2025-09-01T17:18:26.799499,38.764741,0.46985182775083656,0.3040636418306106,0.04755035503593996,50.0,penalized,3.0417314887749627,,,,
37,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:18:26.809502,2025-09-01T17:19:05.784776,38.975274,0.04141196729700596,0.44435796665136545,0.0020085792852238176,50.0,penalized,1.192587314421525,,,,
38,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:19:05.794629,2025-09-01T17:19:44.619352,38.824723,0.49441050123880637,0.21481706372042692,0.022207647333098896,50.0,penalized,1.0055914794046785,,,,
39,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:19:44.629361,2025-09-01T17:20:23.506096,38.876735,0.24649933590490028,0.07154234283618328,0.06417146014006435,50.0,penalized,1.004944613017647,,,,
40,COMPLETE,"[6.0, 2.7325356931679172]",2025-09-01T17:20:23.516243,2025-09-01T17:28:55.742332,512.226089,0.018684106259104195,0.4959590876886059,0.07974015671441816,50.0,passed,0.8560307019440095,6.0,1.0,7.0,2.7325356931679172
41,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:28:55.753342,2025-09-01T17:29:34.440065,38.686723,0.37882265718613994,0.258230286522433,0.029392363403404766,50.0,penalized,1.0051914534989943,,,,
42,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:29:34.451440,2025-09-01T17:30:13.296344,38.844904,0.6309180145095178,0.1972150816888882,0.01854565009747748,50.0,penalized,1.0054309151285823,,,,
43,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:30:13.307354,2025-09-01T17:30:52.107568,38.800214,0.27223947420313394,0.5711696730472163,0.08796769214748519,50.0,penalized,1.4398924526083074,,,,
44,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:30:52.117541,2025-09-01T17:31:30.838031,38.72049,0.4918405794116592,0.3923167597631504,0.02758869528473311,50.0,penalized,6.122169288467215,,,,
45,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:31:30.849303,2025-09-01T17:32:09.527286,38.677983,0.5344649257727054,0.5846281826149853,0.06159770519033945,50.0,penalized,3.9298078290818985,,,,
46,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:32:09.537572,2025-09-01T17:32:48.319731,38.782159,0.4440949823915949,0.5638836961505994,0.04581360316187373,50.0,penalized,5.5274697239707,,,,
47,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:32:48.330741,2025-09-01T17:33:27.006845,38.676104,0.6309130888148528,0.04010414163334011,0.008389068378655998,50.0,penalized,1.0050261827279452,,,,
