number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,attr_gating_status,attr_narma10_nrmse,attr_CQ,attr_GR,attr_KR,attr_MC
27,COMPLETE,"[-5.0, -5.0]",2025-08-29T13:53:56.927164,2025-08-29T13:54:36.036003,39.108839,0.14958377484626423,0.15002434436348136,0.0062556277786289145,20.0,penalized,1.0515156747294918,,,,
28,COMPLETE,"[-5.0, -5.0]",2025-08-29T13:54:36.046012,2025-08-29T13:55:15.063739,39.017727,0.449695132813309,0.5019385791666527,0.0065853099002202735,20.0,penalized,1.0079895106547059,,,,
29,COMPLETE,"[-5.0, -5.0]",2025-08-29T13:55:15.074748,2025-08-29T13:55:53.996195,38.921447,0.40393447854999537,0.5711742043906174,0.005175090381582888,20.0,penalized,1.0056252059617674,,,,
30,COMPLETE,"[-5.0, -5.0]",2025-08-29T13:55:54.006084,2025-08-29T13:56:33.050130,39.044046,0.4051633751398519,0.542920202610021,0.0066853357677115685,20.0,penalized,1.0208172424690214,,,,
31,COMPLETE,"[-5.0, -5.0]",2025-08-29T13:56:33.060139,2025-08-29T13:57:11.974925,38.914786,0.4365863588307085,0.12042002763888307,0.003329882110572603,20.0,penalized,1.0052847890711922,,,,
32,COMPLETE,"[-5.0, -5.0]",2025-08-29T13:57:11.985268,2025-08-29T13:57:50.938201,38.952933,0.3260905267756802,0.4374389560949747,0.004494554573151123,20.0,penalized,2.8386790839392835,,,,
33,COMPLETE,"[-5.0, -5.0]",2025-08-29T13:57:50.948949,2025-08-29T13:58:30.111947,39.162998,0.011043218924956522,0.219539258020155,0.005650823023820563,20.0,penalized,0.8874038759832975,,,,
34,COMPLETE,"[-5.0, -5.0]",2025-08-29T13:58:30.123111,2025-08-29T13:59:09.138045,39.014934,0.32465221319880266,0.5514933182320113,0.0022385670601509865,20.0,penalized,1.0055503309597242,,,,
35,COMPLETE,"[-5.0, -5.0]",2025-08-29T13:59:09.149092,2025-08-29T13:59:48.048632,38.89954,0.38992337486538253,0.12255418036205905,0.00454145878469977,20.0,penalized,1.0051793666792754,,,,
36,COMPLETE,"[-5.0, -5.0]",2025-08-29T13:59:48.059642,2025-08-29T14:00:27.055233,38.995591,0.2667167008138231,0.27616888919690286,0.003711338045183473,20.0,penalized,3.559698157190257,,,,
37,COMPLETE,"[-5.0, -5.0]",2025-08-29T14:00:27.065241,2025-08-29T14:01:06.114886,39.049645,0.19326204566613486,0.20218052709552034,0.004070845655001647,20.0,penalized,4.188239821912789,,,,
38,COMPLETE,"[-5.0, -5.0]",2025-08-29T14:01:06.125896,2025-08-29T14:01:45.222465,39.096569,0.4672561595003063,0.5722717094458769,0.007425938462950944,20.0,penalized,1.0069708681551623,,,,
39,COMPLETE,"[-5.0, -5.0]",2025-08-29T14:01:45.232451,2025-08-29T14:02:24.245056,39.012605,0.21616446366686287,0.3282573958850137,0.004307465810548266,20.0,penalized,4.94514187641374,,,,
40,COMPLETE,"[5.0, 3.8196481191158163]",2025-08-29T14:02:24.255292,2025-08-29T14:10:54.952202,510.69691,0.06970003754606036,0.447938547011886,0.003985620121967853,20.0,passed,0.8419481040012381,5.0,1.0,6.0,3.8196481191158163
