number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,attr_GR,attr_KR,attr_morph_type
30,COMPLETE,"[149.0, 4.431728249088302]",2025-07-20T20:54:01.096094,2025-07-20T21:01:57.755208,476.659114,0.021908016341442182,0.17994686731945164,0.008,50.0,1.0,150.0,uniform
31,COMPLETE,"[166.0, 4.208986108395949]",2025-07-20T21:01:57.764197,2025-07-20T21:09:56.102871,478.338674,0.03352863657536561,0.15880702088263543,0.008,32.48763332910431,1.0,167.0,uniform
32,COMPLETE,"[128.0, 5.747990861504131]",2025-07-20T21:09:56.110492,2025-07-20T21:17:53.848052,477.73756,0.04917632798700635,0.15808095437086636,0.00410631613479781,50.0,43.0,171.0,uniform
33,COMPLETE,"[23.0, 5.476352569020216]",2025-07-20T21:17:53.856466,2025-07-20T21:25:51.880169,478.023703,0.061226197932530126,0.14648188433895523,0.008,50.0,134.0,157.0,uniform
34,COMPLETE,"[116.0, 2.848769318822666]",2025-07-20T21:25:51.888107,2025-07-20T21:33:51.497596,479.609489,0.01,0.17931939445293218,0.004818238271330587,35.365483596241305,1.0,117.0,uniform
35,COMPLETE,"[165.0, 4.794456744012372]",2025-07-20T21:33:51.506343,2025-07-20T21:41:49.623587,478.117244,0.041323899475440004,0.25018657435507763,0.001,50.0,14.0,179.0,uniform
36,COMPLETE,"[158.0, 4.206377793925527]",2025-07-20T21:41:49.631818,2025-07-20T21:49:45.192170,475.560352,0.03250207992961026,0.3356325457945188,0.001,50.0,5.0,163.0,uniform
37,COMPLETE,"[137.0, 3.906279530963524]",2025-07-20T21:49:45.199962,2025-07-20T21:57:43.939578,478.739616,0.018132697920517547,0.32686443756259287,0.006382775022496728,50.0,1.0,138.0,uniform
38,COMPLETE,"[71.0, 2.826405524232845]",2025-07-20T21:57:43.947882,2025-07-20T22:05:41.914639,477.966757,0.01,0.49320001845647155,0.001,50.0,1.0,72.0,uniform
39,COMPLETE,"[104.0, 3.479853493919428]",2025-07-20T22:05:41.923468,2025-07-20T22:13:41.090706,479.167238,0.01648502818719071,0.2744022784379931,0.001,50.0,1.0,105.0,uniform
40,COMPLETE,"[1.0, 2.0595371963292304]",2025-07-20T22:13:41.099031,2025-07-20T22:21:37.660650,476.561619,0.06737659174789866,0.2927861186696687,0.001,50.0,150.0,151.0,uniform
41,COMPLETE,"[130.0, 2.6640041764268094]",2025-07-20T22:21:37.669210,2025-07-20T22:29:34.678435,477.009225,0.014918407627123974,0.27620814668868937,0.008,20.0,1.0,131.0,uniform
42,COMPLETE,"[114.0, 3.134493846842272]",2025-07-20T22:29:34.686430,2025-07-20T22:37:33.936612,479.250182,0.01,0.23638382968770197,0.008,50.0,1.0,115.0,uniform
43,COMPLETE,"[113.0, 2.2179468424815947]",2025-07-20T22:37:33.944938,2025-07-20T22:45:31.137776,477.192838,0.01,0.4218132613911593,0.008,20.14894004678796,1.0,114.0,uniform
44,COMPLETE,"[197.0, 1.6015395971255297]",2025-07-20T22:45:31.145860,2025-07-20T22:53:27.797106,476.651246,0.15593739055041997,0.01,0.008,50.0,1.0,198.0,uniform
