number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,param_n_instances,param_beta_range_delta,param_weight_0,param_weight_1,param_weight_2,param_weight_3,param_weight_4,param_weight_5,param_weight_6,param_weight_7,param_weight_8,param_weight_9,attr_CQ,attr_GR,attr_KR,attr_MC,attr_morph_type,attr_weights
21,COMPLETE,[0.2683607626110606],2025-09-16T18:59:50.278894,2025-09-16T19:12:02.437124,732.15823,0.04874295861859269,0.2,0.03985139388407355,50.0,8,0.9811070399840796,0.5558429982951637,0.7343490176688351,0.31903208008361894,0.9593457224469104,0.15268574276099095,0.35559974887363066,0.17614399148239274,0.917784196188365,,,27.0,9.0,36.0,5.7326021703102255,random,"[0.1332706429351635, 0.17606980032797315, 0.07649212198425277, 0.23001570878780123, 0.03660840771081329, 0.08525969978091884, 0.04223283025247148, 0.22005078822060584]"
22,COMPLETE,[0.4874295403149278],2025-09-16T19:12:02.453139,2025-09-16T19:23:14.303439,671.8503,0.048228218367649116,0.2,0.030484260386645364,50.0,7,0.749778198810569,0.44571272867144185,0.8177094397375979,0.32552587719755827,0.7526595517641756,0.6729343501774606,0.1404864798722244,0.49694934430463555,,,,22.0,9.0,31.0,5.962912098125383,random,"[0.1220469445685863, 0.22390865740437801, 0.08913687255105848, 0.20609642194197692, 0.18426573003471072, 0.038468602125653804, 0.1360767713736358]"
23,COMPLETE,[0.2627881385153698],2025-09-16T19:23:14.318454,2025-09-16T19:37:04.395126,830.076672,0.05160322286271295,0.2,0.03752652755325042,50.0,10,0.10022229859464371,0.9700891932213951,0.4501351940316406,0.5198061677637491,0.6406254098716473,0.5102030682436441,0.11455888359476624,0.06245863813673639,0.10847103722788899,0.3757566888610868,0.6394001690598504,34.0,12.0,46.0,5.771482228142437,random,"[0.2209013344432919, 0.10250136352027812, 0.11836630787480602, 0.14587834696827817, 0.11617956307483712, 0.02608647785713678, 0.014222606135935933, 0.024700199774950148, 0.08556445590303918, 0.14559934444744652]"
24,COMPLETE,[0.42961320067831943],2025-09-16T19:37:04.411141,2025-09-16T19:46:50.950345,586.539204,0.05245641430816445,0.2,0.042936700664146815,50.0,4,0.059313223637844525,0.7315725709606605,0.10588347371247844,0.8487295046532177,0.192873176363098,,,,,,,47.0,13.0,60.0,5.63682448996997,random,"[0.38932927479008705, 0.05634920945519051, 0.45167800934045116, 0.10264350641427131]"
25,COMPLETE,[0.22750489629485576],2025-09-16T19:46:50.966361,2025-09-16T19:59:00.655737,729.689376,0.05288509192492137,0.2,0.047894899306582445,50.0,8,1.9454173762470235,0.09471198547110654,0.6845433663734822,0.4096242874331696,0.17124643135234233,0.24505690449413467,0.32712528027212107,0.33308676613507104,0.7783578373456373,,,32.0,9.0,41.0,5.40510321339787,random,"[0.031116844849896498, 0.22490110009326827, 0.13457869492869823, 0.0562616083802285, 0.08051143304208469, 0.10747432378357018, 0.10943292099541783, 0.25572307392683574]"
26,COMPLETE,[0.3242522139802707],2025-09-16T19:59:00.671752,2025-09-16T20:09:12.022177,611.350425,0.049009226754560736,0.2,0.036200962029272095,50.0,5,2.2126353924454714,0.020093962933473063,0.2909914309800804,0.12560390968968876,0.2364668670980211,0.2247676691057352,,,,,,25.0,8.0,33.0,5.888462788665636,random,"[0.022378248624952534, 0.3240713945657425, 0.13988258705402712, 0.2633484674478046, 0.2503193023074732]"
27,COMPLETE,[0.2008388399030175],2025-09-16T20:09:12.037191,2025-09-16T20:20:20.905223,668.868032,0.04545374355343564,0.2,0.04106904240175495,50.0,7,0.8617160550057252,0.3501004757344574,0.1554179393347574,0.24935567495542316,0.9007098268002037,0.9020590406204778,0.30585536540697816,0.19905257497908604,,,,28.0,6.0,34.0,5.764960840360449,random,"[0.11431662278082179, 0.050747871470417046, 0.08142090801886553, 0.29410444327243784, 0.2945449955653742, 0.09986947992392771, 0.06499567896815583]"
28,COMPLETE,[0.16789935257979938],2025-09-16T20:20:20.920237,2025-09-16T20:29:17.076900,536.156663,0.04939595054485303,0.2,0.03802642768586504,50.0,3,2.11010202446678,0.08803936770792295,0.241635244987692,0.1722594682495981,,,,,,,,28.0,9.0,37.0,5.722532324947435,random,"[0.17540025881911092, 0.4814083246402766, 0.3431914165406124]"
29,COMPLETE,[0.22068803019074237],2025-09-16T20:29:17.091915,2025-09-16T20:40:21.995056,664.903141,0.04909489397671393,0.2,0.036554307398856435,50.0,7,2.546779466296231,0.73077039328302,0.8185405928291332,0.636053701253941,0.04670581370007625,0.43916756628725667,0.18845797367296313,0.3566645796895972,,,,26.0,7.0,33.0,5.438382276247836,random,"[0.22720412275174065, 0.25449279149765225, 0.1977557171783649, 0.014521323697116765, 0.13654176818938124, 0.05859354590375842, 0.11089073078198577]"
30,COMPLETE,[0.18856806460318343],2025-09-16T20:40:22.010071,2025-09-16T20:52:34.035148,732.025077,0.04617452845434593,0.2,0.04871372342866982,50.0,8,0.3368087906741605,0.8428091068225665,0.6305690158500232,0.17689208363613595,0.9355600888898635,0.11822715734304025,0.32079505718317336,0.6343284786254958,0.18831622883138144,,,33.0,7.0,40.0,5.714989286840567,random,"[0.21905385741641428, 0.16389070095596317, 0.045975883451245404, 0.24316069280361122, 0.030728328227263155, 0.08337759303648258, 0.16486781999290076, 0.04894512411611943]"
31,COMPLETE,[0.1732043862676528],2025-09-16T20:52:34.051163,2025-09-16T21:03:42.719370,668.668207,0.04526594115191593,0.2,0.035315476059595424,50.0,7,2.5195877520612586,0.5901706288698374,0.07286103393228441,0.3616777214093869,0.9548361596573921,0.3608190393734045,0.4914869027535303,0.8374799817263823,,,,24.0,6.0,30.0,5.715790495101189,random,"[0.16083873426572523, 0.01985675989569669, 0.09856774308642734, 0.26022074267662665, 0.09833372715095354, 0.13394453651215837, 0.22823775641241212]"
32,COMPLETE,[0.1436661079162077],2025-09-16T21:03:42.734385,2025-09-16T21:17:32.893778,830.159393,0.04805280964316199,0.2,0.03849490553271751,50.0,10,2.01801813232401,0.5469416885556357,0.14036423966631628,0.27099510807215327,0.7129363149419662,0.37519604052210465,0.7404484225219617,0.9261208337922022,0.7285376118087081,0.9687140544831361,0.46875843739019746,25.0,7.0,32.0,5.656746822453936,random,"[0.09303291413892928, 0.023875478008519302, 0.04609534279225444, 0.12126803343456191, 0.06381956569326044, 0.12594774901636355, 0.15752999234707127, 0.1239217607737459, 0.16477495378693607, 0.07973421000835781]"
33,COMPLETE,[0.23327142385046876],2025-09-16T21:17:32.909737,2025-09-16T21:30:32.478318,779.568581,0.04984400832660192,0.2,0.05227002657651598,50.0,9,1.7586036810446597,0.1141836179268152,0.810295058114373,0.8314834297207879,0.6707485420390147,0.6448757071959127,0.46594539658517514,0.6962562472157495,0.33208081184795346,0.12290839883383743,,33.0,7.0,40.0,5.344442143159218,random,"[0.024352536455765572, 0.17281585835986074, 0.17733481301686108, 0.14305404417230932, 0.1375360095788138, 0.09937460787071344, 0.14849420565517188, 0.0708246088503764, 0.026213316040127728]"
34,COMPLETE,[0.148012289025805],2025-09-16T21:30:32.494332,2025-09-16T21:41:13.404046,640.909714,0.045910815918909914,0.2,0.04542552303341518,50.0,6,0.7083058554938724,0.7499076779653224,0.1451456086975249,0.20798290269881933,0.1241032125651567,0.9235304607589233,0.11091579314012291,,,,,31.0,7.0,38.0,5.692384204669416,random,"[0.33158491080519187, 0.06417869176152059, 0.09196330997371382, 0.0548744250501702, 0.4083552875301886, 0.049043374879214764]"
35,COMPLETE,[0.17098494946102374],2025-09-16T21:41:13.420060,2025-09-16T21:55:04.648806,831.228746,0.050887525715124664,0.2,0.044702086390730644,50.0,10,0.7331257480405432,0.5363934723036451,0.299896303382796,0.472483597219304,0.8554876131515509,0.3211863103144296,0.1839015396784211,0.9284660135433207,0.7520566625818452,0.8314362577764568,0.0798662003790063,32.0,9.0,41.0,5.611767567092641,random,"[0.10195319054806344, 0.0570017842166016, 0.08980573535179989, 0.16260393934431433, 0.06104841089188242, 0.03495446847329, 0.17647506407870162, 0.14294464825206352, 0.15803245862333334, 0.015180300219949773]"
36,COMPLETE,[0.21575445638318663],2025-09-16T21:55:04.664761,2025-09-16T22:08:55.368065,830.703304,0.04750980823889943,0.2,0.04105738156124046,50.0,10,2.8404278137658876,0.9618505243424109,0.31636071303570856,0.7400743443805612,0.6846823570259843,0.13998359521926565,0.3610736229816889,0.039360736496121075,0.4087141675874369,0.9762732632626467,0.31482350936968584,23.0,7.0,30.0,5.4841529775122915,random,"[0.19458066443657446, 0.06399921420867533, 0.14971573442815686, 0.13851003309396606, 0.028318434391463365, 0.07304455702026207, 0.007962607563544543, 0.08268215515937448, 0.1974983590794228, 0.06368824061856003]"
37,COMPLETE,[0.1715316795773863],2025-09-16T22:08:55.384079,2025-09-16T22:20:03.423198,668.039119,0.04726241671366963,0.2,0.04234489945429311,50.0,7,2.8210524457434643,0.686121142716747,0.4958127802083813,0.42276561045380184,0.7976929123317642,0.8860311107154581,0.07868248652847429,0.11629760170248916,,,,26.0,6.0,32.0,5.460311591768265,random,"[0.19696860103167413, 0.14233572413259216, 0.12136566805923986, 0.22899812760868948, 0.2543578640604751, 0.02258781770787844, 0.033386197399450895]"
38,COMPLETE,[0.13390847247719162],2025-09-16T22:20:03.439168,2025-09-16T22:31:17.179882,673.740714,0.05047634705893815,0.2,0.040566821499891825,50.0,7,1.9809313808335811,0.5728547683593697,0.11202915218633037,0.9582043349668352,0.9946368836756518,0.684224171822826,0.5806106167891398,0.8954164687315559,,,,30.0,9.0,39.0,5.6334521203653525,random,"[0.11939507846963701, 0.02334925037716158, 0.1997100977110867, 0.20730341324618445, 0.14260682322602253, 0.12101156170939964, 0.18662377526050805]"
39,COMPLETE,[0.24499094660035575],2025-09-16T22:31:17.194895,2025-09-16T22:42:23.443987,666.249092,0.05114217679602108,0.2,0.030698969928488938,50.0,7,0.36040709637592716,0.3143281567839943,0.19274708072682578,0.3777430113994224,0.6889584682496551,0.5810280735452104,0.9332953822231507,0.9172524722989649,,,,24.0,12.0,36.0,5.895548826810954,random,"[0.07847702427863562, 0.048122374681915485, 0.0943095514572333, 0.17200944068448445, 0.14506290082536505, 0.2330120378626998, 0.22900667020966617]"
40,COMPLETE,[0.15693800160754728],2025-09-16T22:42:23.459000,2025-09-16T22:52:36.345120,612.88612,0.051094843768143466,0.2,0.03220873487087044,50.0,5,0.5966624082552425,0.9985751153253773,0.01036266884998675,0.5255055268805446,0.04063775650284521,0.03891240490324472,,,,,,28.0,13.0,41.0,5.812214550678324,random,"[0.6186983605343477, 0.0064205147212766924, 0.32559334089433106, 0.02517838962561357, 0.024109394224431046]"
41,COMPLETE,[0.26213275006638387],2025-09-16T22:52:36.361960,2025-09-16T23:02:19.156421,582.794461,0.05029996971392998,0.2,0.04646320455960108,50.0,4,0.10245550013125648,0.9488083687569037,0.8133953449115229,0.25752877721768486,0.5676514447377596,,,,,,,41.0,10.0,51.0,5.643887668847373,random,"[0.36670567351579647, 0.3143697901623544, 0.0995324944520031, 0.21939204186984618]"
42,COMPLETE,[0.24984103640905567],2025-09-16T23:02:19.172777,2025-09-16T23:11:14.265305,535.092528,0.05035277341897977,0.2,0.044364109157823836,50.0,3,1.4221586653437543,0.9362584125372112,0.027806149618789175,0.6842027373626922,,,,,,,,39.0,10.0,49.0,5.510102564396019,random,"[0.5680258370778855, 0.01686992736366777, 0.4151042355584467]"
43,COMPLETE,[0.332691186539518],2025-09-16T23:11:14.280734,2025-09-16T23:24:14.354228,780.073494,0.051327855565401564,0.2,0.054383812238185864,50.0,9,2.296827645920893,0.2764490649305361,0.6095448352980144,0.849799733527327,0.09838038829406676,0.16527775462606442,0.5832288324386299,0.35310973521594635,0.10200614506706004,0.9581358996081902,,34.0,8.0,42.0,5.186905086826529,random,"[0.0691826182272606, 0.15254132852074245, 0.2126661942192551, 0.02462013335479463, 0.041361499278816515, 0.14595563079177468, 0.08836729474889789, 0.0255274952468449, 0.2397778056116132]"
44,COMPLETE,[0.16523556931040645],2025-09-16T23:24:14.369203,2025-09-16T23:34:26.804094,612.434891,0.048546737319089435,0.2,0.05409933072185058,50.0,5,1.561059419978794,0.11072753908701591,0.761895666484995,0.35800490405065327,0.632756385092125,0.8480746213815246,,,,,,34.0,8.0,42.0,5.571617384450286,random,"[0.04083688314888933, 0.2809910213884751, 0.1320340409801468, 0.23336379344089245, 0.3127742610415964]"
45,COMPLETE,[0.18398072494042425],2025-09-16T23:34:26.820070,2025-09-16T23:44:11.258200,584.43813,0.05040335573989325,0.2,0.04273756675778556,50.0,4,0.12886994731263746,0.5948531229612795,0.44560230676934287,0.9692005203552729,0.9219656418767482,,,,,,,38.0,10.0,48.0,5.691495628607596,random,"[0.2029092446965643, 0.15199857580221457, 0.33060219061438234, 0.3144899888868387]"
46,COMPLETE,[0.13266102811232192],2025-09-16T23:44:11.273213,2025-09-16T23:53:55.034392,583.761179,0.048335789851537636,0.2,0.044488439369814115,50.0,4,0.6021354243084229,0.7968907418965451,0.32871832953142255,0.021546694832704643,0.23357208077035782,,,,,,,33.0,9.0,42.0,5.638416577326406,random,"[0.5771526543844929, 0.2380761206766876, 0.015605316340245009, 0.16916590859857453]"
47,COMPLETE,[0.1377747577475987],2025-09-16T23:53:55.050662,2025-09-17T00:04:38.376697,643.326035,0.04951100688646931,0.2,0.044758402071169615,50.0,6,0.7706894688478267,0.9945943993908012,0.556060326684393,0.03121886613579665,0.07093795249931477,0.10659974297963905,0.2587856675219078,,,,,34.0,9.0,43.0,5.578678849051862,random,"[0.49281334848035063, 0.275523320579989, 0.015468691524469955, 0.03514917229268554, 0.052819296305225645, 0.12822617081727922]"
48,COMPLETE,[0.12564046857652755],2025-09-17T00:04:38.392711,2025-09-17T00:17:35.590589,777.197878,0.05130656032134452,0.2,0.04377020334730014,50.0,9,1.6733031476811178,0.5402129514053526,0.4312721771796893,0.8339494324452916,0.44865082160289416,0.1725123698064055,0.7007745195468656,0.7779754985796803,0.8511600468570267,0.0563859622886325,,31.0,8.0,39.0,5.551895625302445,random,"[0.11224285765095293, 0.08960766576600218, 0.1732740157201688, 0.09321851720354322, 0.03584379329824609, 0.14560357066280882, 0.16164402004032175, 0.17684995468734158, 0.011715604970614683]"
49,COMPLETE,[0.1286905106806731],2025-09-17T00:17:35.607112,2025-09-17T00:31:26.525131,830.918019,0.04610226280482678,0.2,0.054022806676801864,50.0,10,1.188015790877695,0.49169147765791843,0.4628304922293199,0.3649963676110706,0.3178809883642129,0.971918330884421,0.6345411485331357,0.5782021046453112,0.23781339552757122,0.3230788354008354,0.5016712138825868,32.0,6.0,38.0,5.42035246505146,random,"[0.10066106254028502, 0.0947525251927583, 0.074723528587649, 0.06507787810867773, 0.19897504092448767, 0.1299058233450136, 0.11837186703715644, 0.048686117551081515, 0.06614200231949495, 0.10270415439339581]"
50,COMPLETE,[0.15803282482108189],2025-09-17T00:31:26.541145,2025-09-17T00:44:26.512663,779.971518,0.0467556956403725,0.2,0.03678881619938927,50.0,9,1.9571992291354263,0.5819394389367866,0.63647979174613,0.7390504386141086,0.2680797577614646,0.672774978990553,0.21555344110719504,0.7572630311409035,0.7907762434850378,0.4375324053719679,,23.0,6.0,29.0,5.566624891354662,random,"[0.11411808977380934, 0.12481343100994093, 0.14492749358116522, 0.05257033260824762, 0.13193090262156373, 0.04226994305157661, 0.14849897564600661, 0.1550709030992894, 0.08579992860840058]"
51,COMPLETE,[0.10529384504717396],2025-09-17T00:44:26.529066,2025-09-17T00:56:36.353214,729.824148,0.045742674983388194,0.2,0.050268351502450875,50.0,8,0.9698583903020302,0.11757298889685154,0.30828655781864034,0.8768721189069251,0.9109076603632107,0.7031873796436426,0.39447720452266216,0.0716129322050801,0.7185019268188951,,,32.0,7.0,39.0,5.626698364934088,random,"[0.02866641899151286, 0.075165832890696, 0.21379726583811234, 0.2220957457963353, 0.1714497882850751, 0.09618066984218827, 0.01746052676778216, 0.175183751588298]"
52,COMPLETE,[0.1215295548091449],2025-09-17T00:56:36.369229,2025-09-17T01:07:10.282052,633.912823,0.05293655968424207,0.2,0.0346146666395777,50.0,6,2.4765505136419366,0.9120187523682796,0.5266765529683977,0.08758295198575752,0.05720429839298368,0.04178109337856856,0.1387095028085917,,,,,29.0,12.0,41.0,5.469562529646705,random,"[0.5170253024455606, 0.29857401877139517, 0.0496509552264402, 0.032429234158855826, 0.023685787583277263, 0.07863470181447092]"
53,COMPLETE,[0.10741589315489307],2025-09-17T01:07:10.297170,2025-09-17T01:17:47.912642,637.615472,0.04922543205168275,0.2,0.036786840954085694,50.0,6,1.1553866711176248,0.6761045081765684,0.10930458505360911,0.5048789366906472,0.41898873136510956,0.07441690916696656,0.18842108440021996,,,,,28.0,8.0,36.0,5.7323089386865185,random,"[0.3428322345404912, 0.05542506326501771, 0.25600890386738656, 0.21245656741527447, 0.03773457349976015, 0.09554265741206991]"
54,COMPLETE,[0.13674287753743256],2025-09-17T01:17:47.928075,2025-09-17T01:27:57.764486,609.836411,0.0520848944982366,0.2,0.04666005067072275,50.0,5,0.34944862184674397,0.5451812211610608,0.3871344518041007,0.698339888730944,0.5149766081135061,0.7028923771058574,,,,,,36.0,10.0,46.0,5.574307670478149,random,"[0.1913907400767922, 0.135907009200012, 0.24515845913532422, 0.18078714072208, 0.24675665086579152]"
