number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime
36,COMPLETE,"[136.0, 5.785846011113973]",2025-10-11T01:51:37.845967,2025-10-11T01:59:15.997441,458.151474,0.04178174829272154,0.2,0.008,50.0
37,COMPLETE,"[120.0, 5.911687274057485]",2025-10-11T01:59:16.008452,2025-10-11T02:06:55.312189,459.303737,0.045360606502104356,0.2,0.008,50.0
38,COMPLETE,"[161.0, 4.820382100620587]",2025-10-11T02:06:55.322591,2025-10-11T02:14:34.804825,459.482234,0.03938334512311531,0.2,0.001,50.0
39,COMPLETE,"[149.0, 5.56911535605116]",2025-10-11T02:14:34.815835,2025-10-11T02:22:13.734641,458.918806,0.0377639256485725,0.2,0.008,50.0
40,COMPLETE,"[22.0, 0.0]",2025-10-11T02:22:13.745655,2025-10-11T02:29:53.399813,459.654158,0.16971180943335737,0.2,0.008,50.0
41,COMPLETE,"[107.0, 5.908824911806574]",2025-10-11T02:29:53.410824,2025-10-11T02:37:32.390380,458.979556,0.04748844695199298,0.2,0.008,50.0
42,COMPLETE,"[108.0, 5.928609549733931]",2025-10-11T02:37:32.400363,2025-10-11T02:45:11.214760,458.814397,0.047737209459007314,0.2,0.008,50.0
43,COMPLETE,"[101.0, 5.909516735322985]",2025-10-11T02:45:11.225645,2025-10-11T02:52:50.649168,459.423523,0.048188065099743826,0.2,0.008,50.0
44,COMPLETE,"[11.0, 1.8525794692932491]",2025-10-11T02:52:50.659555,2025-10-11T03:00:29.251741,458.592186,0.5,0.2,0.008,50.0
45,COMPLETE,"[143.0, 5.747575708767502]",2025-10-11T03:00:29.262212,2025-10-11T03:08:07.777059,458.514847,0.03982012374040729,0.2,0.008,50.0
46,COMPLETE,"[99.0, 5.9021212931005635]",2025-10-11T03:08:07.788177,2025-10-11T03:15:46.068075,458.279898,0.048207436974399075,0.2,0.008,50.0
47,COMPLETE,"[101.0, 5.9190460713262825]",2025-10-11T03:15:46.079297,2025-10-11T03:23:24.840019,458.760722,0.048356506000022545,0.2,0.008,50.0
48,COMPLETE,"[144.0, 5.544464819968082]",2025-10-11T03:23:24.850146,2025-10-11T03:31:03.337756,458.48761,0.035499636996484486,0.2,0.008,50.0
49,COMPLETE,"[100.0, 5.930413064326847]",2025-10-11T03:31:03.348148,2025-10-11T03:38:42.726162,459.378014,0.04847334163999387,0.2,0.008,50.0
