number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,attr_CQ,attr_GR,attr_KR,attr_MC
28,COMPLETE,[0.4238838157583033],2025-09-09T20:03:36.227312,2025-09-09T20:11:40.297756,484.070444,0.053,0.2,0.03,50.0,83.0,34.0,117.0,5.854416661095787
29,COMPLETE,[0.49005138574397145],2025-09-09T20:11:40.313770,2025-09-09T20:19:44.223070,483.9093,0.045,0.2,0.03,50.0,103.0,18.0,121.0,5.9738886370479864
30,COMPLETE,[0.2918730093692936],2025-09-09T20:19:44.240085,2025-09-09T20:27:48.161395,483.92131,0.053,0.2,0.055,50.0,88.0,18.0,106.0,5.393999783304597
31,COMPLETE,[0.3803333581577972],2025-09-09T20:27:48.178410,2025-09-09T20:35:52.254859,484.076449,0.053,0.2,0.03,50.0,83.0,34.0,117.0,5.854416661095787
32,COMPLETE,[0.22300582628485408],2025-09-09T20:35:52.270873,2025-09-09T20:43:55.754793,483.48392,0.045,0.2,0.055,50.0,95.0,8.0,103.0,5.492446517176829
33,COMPLETE,[0.4349778362552928],2025-09-09T20:43:55.769806,2025-09-09T20:51:59.823236,484.05343,0.045,0.2,0.03,50.0,103.0,18.0,121.0,5.9738886370479864
34,COMPLETE,[0.24305414844321602],2025-09-09T20:51:59.839249,2025-09-09T21:00:03.567387,483.728138,0.053,0.2,0.055,50.0,88.0,18.0,106.0,5.393999783304597
35,COMPLETE,[0.1998271328100057],2025-09-09T21:00:03.582400,2025-09-09T21:08:06.991254,483.408854,0.045,0.2,0.05499999999999999,50.0,95.0,8.0,103.0,5.492446517359589
36,COMPLETE,[0.33782408752033033],2025-09-09T21:08:07.008268,2025-09-09T21:16:11.821374,484.813106,0.053,0.2,0.03,50.0,83.0,34.0,117.0,5.854416661095787
37,COMPLETE,[0.38246161273001283],2025-09-09T21:16:11.836388,2025-09-09T21:24:16.132033,484.295645,0.045,0.2,0.03,50.0,103.0,18.0,121.0,5.9738886370479864
38,COMPLETE,[0.21051002857035792],2025-09-09T21:24:16.147046,2025-09-09T21:32:20.857061,484.710015,0.053,0.2,0.055,50.0,88.0,18.0,106.0,5.393999783304597
39,COMPLETE,[0.3492297635089784],2025-09-09T21:32:20.872074,2025-09-09T21:40:26.002465,485.130391,0.04929841650652084,0.2,0.03,50.0,95.0,25.0,120.0,5.891572460123892
40,COMPLETE,[0.1779973601979291],2025-09-09T21:40:26.017478,2025-09-09T21:48:31.034768,485.01729,0.045,0.2,0.055,50.0,95.0,8.0,103.0,5.492446517176829
41,COMPLETE,[0.28681053838727993],2025-09-09T21:48:31.049781,2025-09-09T21:56:36.020028,484.970247,0.053,0.2,0.03,50.0,83.0,34.0,117.0,5.854416661095787
42,COMPLETE,[0.18004196010681844],2025-09-09T21:56:36.035041,2025-09-09T22:04:40.808113,484.773072,0.053,0.2,0.055,50.0,88.0,18.0,106.0,5.393999783304597
43,COMPLETE,[0.2843402449452745],2025-09-09T22:04:40.823126,2025-09-09T22:12:45.599638,484.776512,0.04905031731605931,0.2,0.03,50.0,97.0,24.0,121.0,5.887062406609306
44,COMPLETE,[0.1561675875382108],2025-09-09T22:12:45.614652,2025-09-09T22:20:50.934717,485.320065,0.045,0.2,0.055,50.0,95.0,8.0,103.0,5.492446517176829
45,COMPLETE,[0.27944441727664004],2025-09-09T22:20:50.949729,2025-09-09T22:28:55.841907,484.892178,0.045,0.2,0.03,50.0,103.0,18.0,121.0,5.9738886370479864
46,COMPLETE,[0.3291230649454213],2025-09-09T22:28:55.856920,2025-09-09T22:37:00.279679,484.422759,0.053,0.2,0.04254274035289607,50.0,84.0,24.0,108.0,5.624870320401747
47,COMPLETE,[0.16737558959607188],2025-09-09T22:37:00.296694,2025-09-09T22:45:04.835556,484.538862,0.04910343143285098,0.2,0.05499999999999999,50.0,91.0,14.0,105.0,5.52178216219257
