number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,attr_CQ,attr_GR,attr_KR,attr_MC
188,COMPLETE,[0.07947672751420391],2025-09-12T11:34:46.041065,2025-09-12T11:42:51.418676,485.377611,0.04892926047179325,0.2,0.036372297921685094,50.0,92.0,21.0,113.0,5.814807215977343
189,COMPLETE,[0.06357207930489757],2025-09-12T11:42:51.432688,2025-09-12T11:50:56.799291,485.366603,0.04538101200288417,0.2,0.038962448397638766,50.0,99.0,14.0,113.0,5.745737534298257
190,COMPLETE,[0.04930373249882825],2025-09-12T11:50:56.814304,2025-09-12T11:59:02.081817,485.267513,0.04755826761181259,0.2,0.05107305439981222,50.0,94.0,12.0,106.0,5.604288647822697
191,COMPLETE,[0.07336981995206227],2025-09-12T11:59:02.095829,2025-09-12T12:07:07.341796,485.245967,0.045999465835952935,0.2,0.04513671284068011,50.0,98.0,12.0,110.0,5.676027372047237
192,COMPLETE,[0.05438001182168696],2025-09-12T12:07:07.356810,2025-09-12T12:15:13.081731,485.724921,0.04547958599743847,0.2,0.04887161175653029,50.0,96.0,13.0,109.0,5.6513518053862
193,COMPLETE,[0.05964378004106004],2025-09-12T12:15:13.098747,2025-09-12T12:23:19.590352,486.491605,0.04624178498533736,0.2,0.04425516544427907,50.0,98.0,13.0,111.0,5.685892459614935
194,COMPLETE,[0.10652044115534107],2025-09-12T12:23:19.604365,2025-09-12T12:31:25.727643,486.123278,0.05287006155569006,0.2,0.03428669190900953,50.0,83.0,31.0,114.0,5.783713069392515
195,COMPLETE,[0.04850073154949154],2025-09-12T12:31:25.743657,2025-09-12T12:39:31.671760,485.928103,0.049547494016239035,0.2,0.04939641944275545,50.0,93.0,13.0,106.0,5.576204156632469
196,COMPLETE,[0.04430140140290362],2025-09-12T12:39:31.687774,2025-09-12T12:47:38.581740,486.893966,0.0512727250713596,0.2,0.04847169143405823,50.0,93.0,16.0,109.0,5.575744202031829
197,COMPLETE,[0.0979359784816091],2025-09-12T12:47:38.596754,2025-09-12T12:55:45.260514,486.66376,0.049491850281944694,0.2,0.05043733613714644,50.0,89.0,17.0,106.0,5.607674018121282
198,COMPLETE,[0.04453811946796963],2025-09-12T12:55:45.275528,2025-09-12T13:03:51.605989,486.330461,0.04953343008295619,0.2,0.05148362158388975,50.0,92.0,13.0,105.0,5.525028256656051
199,COMPLETE,[0.03592971639848743],2025-09-12T13:03:51.620002,2025-09-12T13:11:57.623172,486.00317,0.04988595423841796,0.2,0.05150208912986757,50.0,91.0,15.0,106.0,5.558043052526841
200,COMPLETE,[0.0988859544099601],2025-09-12T13:11:57.638185,2025-09-12T13:20:03.216976,485.578791,0.05046152469980831,0.2,0.04565955341486387,50.0,89.0,19.0,108.0,5.6416514009488505
201,COMPLETE,[0.14860537283603417],2025-09-12T13:20:03.231990,2025-09-12T13:28:09.271192,486.039202,0.05219035987203416,0.2,0.03344229658144177,50.0,82.0,31.0,113.0,5.836762760848642
