number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,param_n_instances,param_beta_range_delta,param_weight_0,param_weight_1,attr_CQ,attr_GR,attr_KR,attr_MC,attr_morph_type,attr_weights
0,COMPLETE,[2.0],2025-09-20T01:44:56.890433,2025-09-20T01:53:32.189202,515.298769,0.0499639727309692,0.2,0.03098978946758187,50.0,2,2.485833072776857,0.2894702098725854,0.37760084866436566,28.0,11.0,39.0,5.554732516856374,random,"[0.43394209082832036, 0.5660579091716798]"
1,COMPLETE,[2.0],2025-09-20T01:53:32.206988,2025-09-20T02:01:57.959614,505.752626,0.04641885117759634,0.2,0.03277714870536677,50.0,2,0.5623755390041105,0.19548739908734541,0.12763826145931936,29.0,10.0,39.0,5.8636199682229115,random,"[0.6049887797726102, 0.39501122022738966]"
2,COMPLETE,[2.0],2025-09-20T02:01:57.974194,2025-09-20T02:10:23.832310,505.858116,0.05180996540975248,0.2,0.05147400807405632,50.0,2,0.4846543603337117,0.5289275100687932,0.5525145742442322,42.0,11.0,53.0,5.480035167542683,random,"[0.48909462442899915, 0.5109053755710008]"
3,COMPLETE,[2.0],2025-09-20T02:10:23.846322,2025-09-20T02:18:49.569548,505.723226,0.04944724780753148,0.2,0.041974082919512594,50.0,2,1.1015754881693194,0.6224817178724766,0.1982455907371651,42.0,10.0,52.0,5.617169683062619,random,"[0.7584513288914386, 0.24154867110856137]"
4,COMPLETE,[2.0],2025-09-20T02:18:49.584075,2025-09-20T02:27:15.491992,505.907917,0.04770009288537457,0.2,0.050415685705789505,50.0,2,0.29272671479132084,0.6813237916362419,0.3362458092463901,39.0,9.0,48.0,5.612824438852938,random,"[0.6695598915742637, 0.33044010842573623]"
5,COMPLETE,[2.0],2025-09-20T02:27:15.506745,2025-09-20T02:35:44.658010,509.151265,0.050202656811909205,0.2,0.034357217263204606,50.0,2,2.7980183364376248,0.9583436794067774,0.1454691650902532,53.0,10.0,63.0,5.428169861156064,random,"[0.8682121105806316, 0.13178788941936845]"
6,COMPLETE,[2.0],2025-09-20T02:35:44.673244,2025-09-20T02:44:12.352543,507.679299,0.052505861757490925,0.2,0.03309931030644864,50.0,2,2.4156549902290765,0.6934531570610061,0.4418623968648043,33.0,14.0,47.0,5.488710788544322,random,"[0.6108021286796546, 0.38919787132034545]"
7,COMPLETE,[2.0],2025-09-20T02:44:12.367657,2025-09-20T02:52:40.273763,507.906106,0.049011285979865725,0.2,0.03717237881353365,50.0,2,1.9439757335585408,0.22457762596875372,0.7519278817709285,38.0,11.0,49.0,5.785461463031416,random,"[0.2299809106951006, 0.7700190893048994]"
8,COMPLETE,[2.0],2025-09-20T02:52:40.288700,2025-09-20T03:01:11.154009,510.865309,0.04838455298775653,0.2,0.03656489922759304,50.0,2,0.858065677805451,0.43614005844770004,0.6369398729470211,29.0,11.0,40.0,5.817219559002416,random,"[0.4064376247171381, 0.5935623752828618]"
9,COMPLETE,[2.0],2025-09-20T03:01:11.168745,2025-09-20T03:09:38.171155,507.00241,0.049105476269754304,0.2,0.0379554002736256,50.0,2,0.4081454416753456,0.41581073590018025,0.5744926127913176,32.0,11.0,43.0,5.801365525488956,random,"[0.41988218705874014, 0.5801178129412599]"
10,COMPLETE,[2.0],2025-09-20T03:09:38.186852,2025-09-20T03:18:05.940867,507.754015,0.04731654676149331,0.2,0.0415052062832605,50.0,2,0.4425705315485735,0.6315069528765256,0.8413408663010205,34.0,9.0,43.0,5.834375199480193,random,"[0.4287659218106904, 0.5712340781893096]"
11,COMPLETE,[2.0],2025-09-20T03:18:05.956881,2025-09-20T03:26:33.508418,507.551537,0.04751932696933148,0.2,0.03179397327160075,50.0,2,0.7269689071245029,0.8570763992134612,0.48165349590623746,30.0,10.0,40.0,5.884320382124992,random,"[0.6402160752052439, 0.3597839247947562]"
12,COMPLETE,[2.0],2025-09-20T03:26:33.523506,2025-09-20T03:35:00.191559,506.668053,0.04682585999228781,0.2,0.03171067783551826,50.0,2,2.7354979686699847,0.8961319969389216,0.954365399529598,30.0,7.0,37.0,5.680569465187952,random,"[0.4842654729745071, 0.5157345270254929]"
13,COMPLETE,[2.0],2025-09-20T03:35:00.206574,2025-09-20T03:43:27.882288,507.675714,0.04667317866949049,0.2,0.03287500180550789,50.0,2,1.720645454511235,0.1966920466055523,0.6388806307345749,36.0,9.0,45.0,5.880765639439203,random,"[0.23539789169708225, 0.7646021083029177]"
14,COMPLETE,[2.0],2025-09-20T03:43:27.896301,2025-09-20T03:51:55.414791,507.51849,0.05197508270475906,0.2,0.03188484302171814,50.0,2,2.413439383223857,0.7239822140283214,0.317982188967405,37.0,13.0,50.0,5.4952308417880085,random,"[0.6948243260007902, 0.3051756739992097]"
15,COMPLETE,[0.9693071245313579],2025-09-20T03:51:55.430217,2025-09-20T04:00:24.363744,508.933527,0.05111575298554198,0.2,0.047473974152787535,50.0,2,1.6946732347706353,0.5495119760356822,0.08912407974022636,58.0,9.0,67.0,5.417301554645778,random,"[0.8604462135606399, 0.13955378643936]"
16,COMPLETE,[0.7430491827901214],2025-09-20T04:00:24.380759,2025-09-20T04:08:54.360261,509.979502,0.05035186065033973,0.2,0.05472450415007282,50.0,2,1.2432226943403304,0.2311008063925404,0.0981540444604535,48.0,7.0,55.0,5.313074195559819,random,"[0.7018903618088913, 0.2981096381911088]"
17,COMPLETE,[0.39603317465082033],2025-09-20T04:08:54.376275,2025-09-20T04:17:25.377310,511.001035,0.048819315596488146,0.2,0.04274985288013471,50.0,2,1.5690216161423813,0.14250466889148106,0.6727513344293201,42.0,11.0,53.0,5.7007405501850315,random,"[0.17479744805437003, 0.82520255194563]"
18,COMPLETE,[0.3201254516102361],2025-09-20T04:17:25.393326,2025-09-20T04:25:53.684802,508.291476,0.0452949166670604,0.2,0.032670646463686615,50.0,2,2.744440105319512,0.4672422381477583,0.9776554370550612,32.0,7.0,39.0,5.825607752913394,random,"[0.32337392894079625, 0.6766260710592037]"
19,COMPLETE,[0.5531040016413326],2025-09-20T04:25:53.700816,2025-09-20T04:34:20.491144,506.790328,0.052934970740843364,0.2,0.0478744936592895,50.0,2,2.765072149811398,0.06941140818598932,0.93296471703625,52.0,15.0,67.0,5.636949739568661,random,"[0.06924686895410637, 0.9307531310458937]"
20,COMPLETE,[0.3869965029873063],2025-09-20T04:34:20.508159,2025-09-20T04:42:47.157509,506.64935,0.05273539263112745,0.2,0.04127466729712275,50.0,2,0.07134746576400208,0.7148764411995487,0.3975556579435159,45.0,14.0,59.0,5.6435144684211265,random,"[0.6426247873917309, 0.3573752126082692]"
21,COMPLETE,[0.2826547638128176],2025-09-20T04:42:47.172522,2025-09-20T04:51:14.056749,506.884227,0.045078461201255866,0.2,0.03723737103159787,50.0,2,1.067071265289056,0.2469491258664414,0.2836603472348778,31.0,7.0,38.0,5.713760461900995,random,"[0.4654065530022808, 0.5345934469977192]"
22,COMPLETE,[0.40701428587758876],2025-09-20T04:51:14.071763,2025-09-20T04:59:41.848897,507.777134,0.04539738622866561,0.2,0.05460695073514496,50.0,2,0.3130111458580823,0.20688277301391395,0.7318049873387168,48.0,7.0,55.0,5.515383498363828,random,"[0.22039572875244015, 0.7796042712475599]"
23,COMPLETE,[0.26171071726594014],2025-09-20T04:59:41.863910,2025-09-20T05:08:08.193467,506.329557,0.04577515919356224,0.2,0.043693478438021835,50.0,2,0.6226685217034207,0.6854156650547932,0.6001417731477956,36.0,7.0,43.0,5.700789331196777,random,"[0.5331661150925407, 0.46683388490745936]"
24,COMPLETE,[0.29861074199658083],2025-09-20T05:08:08.208480,2025-09-20T05:16:37.122509,508.914029,0.05071446681729817,0.2,0.03814303122854244,50.0,2,2.3115429892963357,0.1144240176807437,0.6398753027185314,40.0,14.0,54.0,5.828175912929571,random,"[0.15169577193861894, 0.8483042280613811]"
25,COMPLETE,[0.23280692011666523],2025-09-20T05:16:37.138523,2025-09-20T05:25:03.777594,506.639071,0.04581308950516436,0.2,0.03438973052869532,50.0,2,2.27296034688553,0.4209465857810523,0.8300031642358249,33.0,8.0,41.0,5.860648374824572,random,"[0.3365015947086389, 0.6634984052913612]"
26,COMPLETE,[0.6233981763571966],2025-09-20T05:25:03.793609,2025-09-20T05:33:30.818326,507.024717,0.048565774045110324,0.2,0.051007452607852985,50.0,2,0.004129716944131667,0.18259517114692067,0.6463466963411626,64.0,10.0,74.0,5.562208410684532,random,"[0.22027500155135502, 0.779724998448645]"
27,COMPLETE,[0.2160590109174517],2025-09-20T05:33:30.833341,2025-09-20T05:41:57.759255,506.925914,0.04745363675918041,0.2,0.034992203627948595,50.0,2,1.0998003097353881,0.35710802938134084,0.2153625113742062,33.0,9.0,42.0,5.700953832711543,random,"[0.6238015827155566, 0.3761984172844433]"
28,COMPLETE,[0.23013436987932073],2025-09-20T05:41:57.775269,2025-09-20T05:50:24.393317,506.618048,0.049533562480523166,0.2,0.03361959311494854,50.0,2,2.668332400820509,0.6801953883575229,0.35932596142617257,37.0,9.0,46.0,5.6123231628971455,random,"[0.6543351788773348, 0.34566482112266517]"
29,COMPLETE,[0.31928169063078554],2025-09-20T05:50:24.408332,2025-09-20T05:58:52.973218,508.564886,0.04669519491168962,0.2,0.04318573610847123,50.0,2,1.2252825519073403,0.04395441960117871,0.3397292510731151,48.0,10.0,58.0,5.694974545083373,random,"[0.11455900514069908, 0.885440994859301]"
