number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime
35,COMPLETE,"[2.0, 0.3736856030623831]",2025-08-22T22:04:31.343211,2025-08-22T22:12:27.565014,476.221803,0.0674197502123787,1.9999999999999998,0.0249811223181365,50.0
36,COMPLETE,"[50.0, 0.47466770311822953]",2025-08-22T22:12:27.575639,2025-08-22T22:20:23.129976,475.554337,0.15665537096312104,0.2,0.15444929741373847,50.0
37,COMPLETE,"[47.0, 0.8513238294786747]",2025-08-22T22:20:23.140619,2025-08-22T22:28:17.493120,474.352501,0.12341947250432735,0.2,0.17977273635146357,50.0
38,COMPLETE,"[7.0, 5.541100857835724]",2025-08-22T22:28:17.504129,2025-08-22T22:36:13.572396,476.068267,0.04903166248013291,0.3530683081739563,0.030934876192942398,50.0
39,COMPLETE,"[0.0, 0.0]",2025-08-22T22:36:13.584538,2025-08-22T22:44:09.229934,475.645396,0.2573756214885107,2.0,0.0,50.0
40,COMPLETE,"[5.0, 5.77550021608916]",2025-08-22T22:44:09.240339,2025-08-22T22:52:06.273729,477.03339,0.04167142850083901,0.2,0.03239196994864752,50.0
41,COMPLETE,"[40.0, 1.5191492000855924]",2025-08-22T22:52:06.284730,2025-08-22T23:00:04.567211,478.282481,0.10716043852148573,0.2,0.2,50.0
42,COMPLETE,"[41.0, 0.0]",2025-08-22T23:00:04.577991,2025-08-22T23:08:01.171830,476.593839,0.19691686120848645,0.2,0.2,50.0
43,COMPLETE,"[8.0, 4.623595532030814]",2025-08-22T23:08:01.182267,2025-08-22T23:15:58.129417,476.94715,0.06078461474802568,0.30294072693483187,0.03595683355726154,50.0
44,COMPLETE,"[16.0, 2.8111869073146494]",2025-08-22T23:15:58.140042,2025-08-22T23:23:54.143048,476.003006,0.0612924414526772,0.36329871908267963,0.1132205167666869,50.0
45,COMPLETE,"[5.0, 5.428929278761236]",2025-08-22T23:23:54.153057,2025-08-22T23:31:51.815339,477.662282,0.0328611316906361,0.30479809047949025,0.03187576819487661,50.0
46,COMPLETE,"[7.0, 1.0]",2025-08-22T23:31:51.825863,2025-08-22T23:39:50.068082,478.242219,0.0,0.2,0.2,50.0
47,COMPLETE,"[45.0, 1.0423086144045826]",2025-08-22T23:39:50.078547,2025-08-22T23:47:47.563979,477.485432,0.11964533885116434,0.2,0.2,50.0
48,COMPLETE,"[31.0, 2.146553100275751]",2025-08-22T23:47:47.573955,2025-08-22T23:55:44.037541,476.463586,0.08949322525091113,0.2,0.18546920738271555,50.0
49,COMPLETE,"[0.0, 0.0]",2025-08-22T23:55:44.047551,2025-08-23T00:03:41.617231,477.56968,0.49999999999999994,2.0,0.0,50.0
50,COMPLETE,"[27.0, 2.5337956137015327]",2025-08-23T00:03:41.627240,2025-08-23T00:11:42.289222,480.661982,0.0839436672751521,0.2,0.12065660243088482,50.0
51,COMPLETE,"[0.0, 0.1889931859840856]",2025-08-23T00:11:42.307246,2025-08-23T00:19:40.257644,477.950398,0.16050001732742336,2.0,0.2,50.0
52,COMPLETE,"[17.0, 3.818992011183688]",2025-08-23T00:19:40.268031,2025-08-23T00:27:38.615539,478.347508,0.06258318747734604,0.2,0.11204410725946248,50.0
53,COMPLETE,"[8.0, 5.1108752862033455]",2025-08-23T00:27:38.625492,2025-08-23T00:35:36.773993,478.148501,0.05140125647213301,0.40365940700801506,0.039674816724154724,50.0
54,COMPLETE,"[7.0, 5.798470788487462]",2025-08-23T00:35:36.784431,2025-08-23T00:43:33.341134,476.556703,0.043256684090813194,0.26860029644548356,0.03512636581469535,50.0
55,COMPLETE,"[10.0, 4.953281901631785]",2025-08-23T00:43:33.351712,2025-08-23T00:51:30.498158,477.146446,0.053169325054185985,0.3861535312008818,0.04492842700446731,50.0
56,COMPLETE,"[15.0, 4.554664973344899]",2025-08-23T00:51:30.507866,2025-08-23T00:59:26.340780,475.832914,0.06266001523477228,0.2,0.07844944911172594,50.0
57,COMPLETE,"[11.0, 5.102363641695427]",2025-08-23T00:59:26.351734,2025-08-23T01:07:21.705176,475.353442,0.054610494459135815,0.2,0.06452554656999575,50.0
58,COMPLETE,"[17.0, 3.8970274950003536]",2025-08-23T01:07:21.715784,2025-08-23T01:15:18.697506,476.981722,0.06981006801622773,0.2,0.08968442426114083,50.0
59,COMPLETE,"[56.0, 0.33405671484242205]",2025-08-23T01:15:18.708095,2025-08-23T01:23:15.787818,477.079723,0.15585163395295154,0.2,0.18337792627239757,50.0
60,COMPLETE,"[38.0, 1.709309787059579]",2025-08-23T01:23:15.798357,2025-08-23T01:31:11.871502,476.073145,0.10245296061981274,0.2,0.18685047197192584,50.0
61,COMPLETE,"[10.0, 5.516469660483642]",2025-08-23T01:31:11.882513,2025-08-23T01:39:09.369567,477.487054,0.04910076071839179,0.2,0.053605788661994294,50.0
62,COMPLETE,"[0.0, 0.0]",2025-08-23T01:39:09.379543,2025-08-23T01:47:05.815338,476.435795,0.35457616039320267,0.2,0.0,50.0
63,COMPLETE,"[0.0, 0.11670242984747226]",2025-08-23T01:47:05.826349,2025-08-23T01:55:01.070969,475.24462,0.3627041546087691,2.0,0.2,50.0
64,COMPLETE,"[51.0, 0.15457734962582365]",2025-08-23T01:55:01.081941,2025-08-23T02:02:57.805725,476.723784,0.16865525789388888,0.2,0.16877363349317856,50.0
65,COMPLETE,"[13.0, 4.8848074197944715]",2025-08-23T02:02:57.816204,2025-08-23T02:10:55.272010,477.455806,0.057933458925046755,0.2,0.07189559786921125,50.0
66,COMPLETE,"[19.0, 3.737788229061928]",2025-08-23T02:10:55.282019,2025-08-23T02:18:52.743010,477.460991,0.06712112421878991,0.2,0.1101047010274342,50.0
67,COMPLETE,"[25.0, 0.0]",2025-08-23T02:18:52.754020,2025-08-23T02:26:51.013839,478.259819,0.5,0.2,0.2,50.0
68,COMPLETE,"[6.0, 5.77338871229013]",2025-08-23T02:26:51.024551,2025-08-23T02:34:48.658721,477.63417,0.042994395973672196,0.2,0.03855769006188545,50.0
69,COMPLETE,"[10.0, 0.0]",2025-08-23T02:34:48.669317,2025-08-23T02:42:48.149009,479.479692,0.5,0.2,0.12275359251698251,50.0
70,COMPLETE,"[49.0, 0.705367865509656]",2025-08-23T02:42:48.159710,2025-08-23T02:50:46.209857,478.050147,0.13236541834705498,0.2,0.18921320304711794,50.0
