number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime
36,COMPLETE,"[127.0, 4.556549933212544]",2025-10-16T02:59:24.253031,2025-10-16T03:07:17.354888,473.101857,0.05,0.061031885383944315,0.003,36.168577611351964
37,COMPLETE,"[42.0, 5.351786112897966]",2025-10-16T03:07:17.364896,2025-10-16T03:15:10.840875,473.475979,0.05,0.31817920244214964,0.003,50.0
38,COMPLETE,"[125.0, 3.4142483040381126]",2025-10-16T03:15:10.850886,2025-10-16T03:23:04.936929,474.086043,0.05,0.0842825308942428,0.003,20.0
39,COMPLETE,"[114.0, 5.353234535643388]",2025-10-16T03:23:04.947937,2025-10-16T03:30:58.401897,473.45396,0.05,0.08131513054756259,0.003,42.169956182796106
40,COMPLETE,"[127.0, 4.211426486547268]",2025-10-16T03:30:58.411907,2025-10-16T03:38:51.687472,473.275565,0.05,0.0567168870379673,0.003,31.696750792249453
41,COMPLETE,"[118.0, 5.183443907616551]",2025-10-16T03:38:51.697480,2025-10-16T03:46:45.502507,473.805027,0.05,0.07125504789414532,0.003,40.15455752033347
42,COMPLETE,"[101.0, 5.653327717649232]",2025-10-16T03:46:45.513517,2025-10-16T03:54:39.062561,473.549044,0.05,0.09365653817837788,0.003,48.799565394900554
43,COMPLETE,"[57.0, 5.59204053860449]",2025-10-16T03:54:39.073570,2025-10-16T04:02:32.609107,473.535537,0.05,0.18923403263611935,0.003,50.0
44,COMPLETE,"[120.0, 5.166664279986152]",2025-10-16T04:02:32.620117,2025-10-16T04:10:26.028036,473.407919,0.05,0.07102954066542755,0.003,39.8654169490292
45,COMPLETE,"[85.0, 5.782251200922203]",2025-10-16T04:10:26.039045,2025-10-16T04:18:20.813185,474.77414,0.05,0.11422161118221019,0.003,50.0
46,COMPLETE,"[28.0, 4.940064591890554]",2025-10-16T04:18:20.823195,2025-10-16T04:26:14.984031,474.160836,0.05,0.49565760802594183,0.003,50.0
47,COMPLETE,"[123.0, 4.834346144981616]",2025-10-16T04:26:14.995042,2025-10-16T04:34:09.148733,474.153691,0.05,0.0628835697841479,0.003,38.02027805695489
48,COMPLETE,"[98.0, 5.701765398941163]",2025-10-16T04:34:09.158742,2025-10-16T04:42:07.146660,477.987918,0.05,0.09196705905271221,0.003,49.670467424821034
49,COMPLETE,"[111.0, 5.443687690002719]",2025-10-16T04:42:07.156669,2025-10-16T04:50:02.195331,475.038662,0.05,0.08680368568532025,0.003,43.16832313193851
50,COMPLETE,"[115.0, 5.268861287049064]",2025-10-16T04:50:02.206340,2025-10-16T04:57:56.922428,474.716088,0.05,0.07868616618247123,0.003,41.14594029013868
51,COMPLETE,"[123.0, 4.8219721774817454]",2025-10-16T04:57:56.932436,2025-10-16T05:05:51.328237,474.395801,0.05,0.06166951969035386,0.003,38.180467071410916
52,COMPLETE,"[124.0, 4.817790983637986]",2025-10-16T05:05:51.338247,2025-10-16T05:13:45.546880,474.208633,0.05,0.0620486426163835,0.003,38.01907737528642
53,COMPLETE,"[128.0, 4.424070463314143]",2025-10-16T05:13:45.557889,2025-10-16T05:21:40.416717,474.858828,0.05,0.05664522113448954,0.003,35.7933778161364
54,COMPLETE,"[115.0, 5.25674228295398]",2025-10-16T05:21:40.427727,2025-10-16T05:29:34.885583,474.457856,0.05,0.0791520925237729,0.003,41.03381444312871
55,COMPLETE,"[97.0, 5.730807481669545]",2025-10-16T05:29:34.895593,2025-10-16T05:37:29.270045,474.374452,0.05,0.09093171270580687,0.003,49.987290368972964
56,COMPLETE,"[125.0, 4.631885858287241]",2025-10-16T05:37:29.281054,2025-10-16T05:45:23.607793,474.326739,0.05,0.05796858989650737,0.003,37.55401567591575
57,COMPLETE,"[101.0, 3.224843747515287]",2025-10-16T05:45:23.619803,2025-10-16T05:53:18.869367,475.249564,0.05,0.440029549473856,0.003,20.0
58,COMPLETE,"[125.0, 4.609631078068185]",2025-10-16T05:53:18.880378,2025-10-16T06:01:13.147062,474.266684,0.05,0.05915303018562837,0.003,37.22431772791799
59,COMPLETE,"[115.0, 5.2595872102692836]",2025-10-16T06:01:13.157071,2025-10-16T06:09:07.669647,474.512576,0.05,0.07885886700212769,0.003,41.109965749444356
60,COMPLETE,"[86.0, 5.779643402800111]",2025-10-16T06:09:07.680658,2025-10-16T06:17:01.727145,474.046487,0.05,0.11385899057128569,0.003,50.0
