result_schema_version,study_id,run_id,trial_id,family,family_role,family_trial_index,optuna_study_name,optuna_trial_number,status,failure_code,failure_message,global_seed,trial_seed,input_signal_seed,mask_seed,morphology_seed,beta_prime,theta,gamma,m0,Nvirt,geometry_mode,morphology_scheme,morphology_n_instances,morphology_beta_spread,morphology_weights_mode,MC,KR,GR,CQ,CQ_formula,runtime_seconds,started_at_utc,finished_at_utc,resolved_config_path,trial_log_path
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_trial_0043,uniform,baseline,43,uniform_fixed_repeated_eval_study,42,completed,,,1234,1700135630,2308302346,1114433315,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.325301189241814,77.0,1.0,76.0,KR_minus_GR,94.77754770009778,2026-03-14T13:09:30Z,2026-03-14T13:11:05Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_trial_0044,uniform,baseline,44,uniform_fixed_repeated_eval_study,43,completed,,,1234,1724648099,2347422777,3495343450,,20.0,0.2,0.05,0.01,100,uniform,,,,,2.9568606728370495,80.0,1.0,79.0,KR_minus_GR,95.12251790007576,2026-03-14T13:11:05Z,2026-03-14T13:12:40Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_trial_0045,uniform,baseline,45,uniform_fixed_repeated_eval_study,44,completed,,,1234,102986405,787628727,3848914606,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.519229381471336,83.0,1.0,82.0,KR_minus_GR,94.75217330013402,2026-03-14T13:12:40Z,2026-03-14T13:14:15Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_trial_0046,uniform,baseline,46,uniform_fixed_repeated_eval_study,45,completed,,,1234,4170395418,20730319,1753928110,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.5787449250625207,84.0,1.0,83.0,KR_minus_GR,94.84742660005577,2026-03-14T13:14:15Z,2026-03-14T13:15:50Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_trial_0047,uniform,baseline,47,uniform_fixed_repeated_eval_study,46,completed,,,1234,2619905895,947886730,572748979,,20.0,0.2,0.05,0.01,100,uniform,,,,,4.0467807497156905,83.0,1.0,82.0,KR_minus_GR,94.90047330013476,2026-03-14T13:15:50Z,2026-03-14T13:17:25Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_trial_0048,uniform,baseline,48,uniform_fixed_repeated_eval_study,47,completed,,,1234,901780484,3179849581,3507244300,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.8609154369509784,82.0,1.0,81.0,KR_minus_GR,94.39557630009949,2026-03-14T13:17:25Z,2026-03-14T13:18:59Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_trial_0049,uniform,baseline,49,uniform_fixed_repeated_eval_study,48,completed,,,1234,3731728325,2582231369,1826447489,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.19679659316618,86.0,1.0,85.0,KR_minus_GR,94.8441066998057,2026-03-14T13:18:59Z,2026-03-14T13:20:34Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_trial_0050,uniform,baseline,50,uniform_fixed_repeated_eval_study,49,completed,,,1234,1593229545,2172363452,3298738234,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.48556454883101,82.0,1.0,81.0,KR_minus_GR,94.74436370003968,2026-03-14T13:20:34Z,2026-03-14T13:22:09Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_trial_0051,uniform,baseline,51,uniform_fixed_repeated_eval_study,50,completed,,,1234,3689829390,1612456305,3962214019,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.3177475637471816,77.0,1.0,76.0,KR_minus_GR,94.81133750011213,2026-03-14T13:22:09Z,2026-03-14T13:23:44Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_trial_0052,uniform,baseline,52,uniform_fixed_repeated_eval_study,51,completed,,,1234,3593424145,1146442990,1214942181,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.133093099401081,80.0,1.0,79.0,KR_minus_GR,94.90866109984927,2026-03-14T13:23:44Z,2026-03-14T13:25:19Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_trial_0053,uniform,baseline,53,uniform_fixed_repeated_eval_study,52,completed,,,1234,3473869916,1800170571,2678034935,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.144978324942529,80.0,1.0,79.0,KR_minus_GR,94.68874579994008,2026-03-14T13:25:19Z,2026-03-14T13:26:53Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_trial_0054,uniform,baseline,54,uniform_fixed_repeated_eval_study,53,completed,,,1234,1148196959,3048196223,2568168663,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.8380328217084294,88.0,1.0,87.0,KR_minus_GR,95.14503859984688,2026-03-14T13:26:53Z,2026-03-14T13:28:28Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_trial_0055,uniform,baseline,55,uniform_fixed_repeated_eval_study,54,completed,,,1234,4224082481,2220787683,1080824074,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.7319127899504494,84.0,1.0,83.0,KR_minus_GR,94.93308630003594,2026-03-14T13:28:28Z,2026-03-14T13:30:03Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_trial_0056,uniform,baseline,56,uniform_fixed_repeated_eval_study,55,completed,,,1234,1206914384,2754973280,248617575,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.1645327802366827,81.0,1.0,80.0,KR_minus_GR,94.62524079997092,2026-03-14T13:30:03Z,2026-03-14T13:31:38Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_trial_0057,uniform,baseline,57,uniform_fixed_repeated_eval_study,56,completed,,,1234,765537397,2235196203,641263299,,20.0,0.2,0.05,0.01,100,uniform,,,,,4.632553798690341,83.0,1.0,82.0,KR_minus_GR,95.02666790015064,2026-03-14T13:31:38Z,2026-03-14T13:33:13Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_trial_0058,uniform,baseline,58,uniform_fixed_repeated_eval_study,57,completed,,,1234,1284534340,1611297655,2696863220,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.893576344229884,83.0,1.0,82.0,KR_minus_GR,94.66834690002725,2026-03-14T13:33:13Z,2026-03-14T13:34:48Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_trial_0059,uniform,baseline,59,uniform_fixed_repeated_eval_study,58,completed,,,1234,3442088377,2466042371,1147842140,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.804643462434285,83.0,1.0,82.0,KR_minus_GR,94.92906670016237,2026-03-14T13:34:48Z,2026-03-14T13:36:23Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_trial_0060,uniform,baseline,60,uniform_fixed_repeated_eval_study,59,completed,,,1234,200858517,2580599979,4071797276,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.7602729770951973,79.0,1.0,78.0,KR_minus_GR,94.72104289988056,2026-03-14T13:36:23Z,2026-03-14T13:37:57Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891/resolved_config.yaml,
1.0,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05,uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891,uniform_trial_0061,uniform,baseline,61,uniform_fixed_repeated_eval_study,60,completed,,,1234,2062789657,2556763886,248663992,,20.0,0.2,0.05,0.01,100,uniform,,,,,3.6272129970923186,84.0,1.0,83.0,KR_minus_GR,94.70314790005796,2026-03-14T13:37:57Z,2026-03-14T13:39:32Z,results/raw/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_05/uniform_vs_heterogeneous_fixed_geometry_beta20_v2_seed_sweep_seed_05_1234567891/resolved_config.yaml,
